"","City","Year","en.out.in","en.out.gdp","en.out.pop","water.out.in","waste.out.in","resEff.gdp.res","envEff.gdp.waste","CF","CF.noCement","WF","bl.en.rad"
"37","Los Angeles",2001,1,4.35033046630881e-07,0.0237119875454074,NA,NA,Inf,Inf,55120.41413,55120.41413,2180.69136,0.0104786111670362
"38","Los Angeles",2006,1.50717446051635,1.07004358294561e-06,0.0774462268210224,NA,NA,Inf,Inf,104409.8605082,104409.8605082,1475.4796762,0.0346719784898442
"39","Los Angeles",2011,1.28027639181515,1.40500300452044e-06,0.10403330468197,0.909836065573771,0.176091577662452,21105348.0351818,119854386.651237,207298.18834,174713.18834,11640004598.2857,0.0471855280108254
"40","Manila",2001,1.29366968629338,8.47573197623021e-06,0.055551186199731,0.38425301900806,NA,Inf,Inf,49880.190997,49880.190997,3466628485.62009,0.535528272769625
"41","Manila",2006,1.3703952317595,5.93449076059994e-06,0.0496128057994123,0.455291719042217,Inf,Inf,42444096.5402826,50855.3027622,50855.3027622,3203285824.10835,0.519438834536843
"42","Manila",2011,1.75650085967988,3.98505613226619e-06,0.0469748291473287,0.656939804020543,8.9458e-05,4658.5073628,52074798.9313421,30132152002.7607,52002.7607475,3384054061.64404,0.540543132230763
"43","Mexico City",2001,1.17554522626213,1.70243348425138e-06,0.0370011205510127,NA,Inf,Inf,42631435.1308219,63235.0672093,63235.0672093,2927.227151,0.109916853887906
"44","Mexico City",2006,1.14718096162014,1.52452340968648e-06,0.0429947702741318,0,Inf,Inf,50855144.8837426,75675.0017106,75675.0017106,192056893.284839,0.129648593441912
"45","Mexico City",2011,1.25129110492182,1.07055553856456e-06,0.0374410523913466,1,Inf,Inf,66968619.204692,63696.1810337,63696.1810337,2244802177.73341,0.114586746032912
"46","Moscow",2001,Inf,6.00833494845678e-07,0.0142557899378142,1,NA,Inf,Inf,18.521,18.521,5.554e+09,0.134270925182065
"47","Moscow",2006,Inf,4.74608669114313e-07,Inf,1,NA,Inf,Inf,18.521,18.521,5.268e+09,0.16257470363476
"48","Moscow",2011,1.71102077664779,6.77414330040243e-07,0.0391261355999361,1,0.632199384480105,91286528.4092658,144395155.46877,62019.891542,62019.891542,2992003945.7809,0.408295995123172
"49","Mumbai",2001,0.575549144330781,1.63895406465845e-06,0.00687368425446652,NA,Inf,Inf,14032145.4977654,34930.6094746,34930.6094746,229.6380904,Inf
"50","Mumbai",2006,0.650673779010483,7.56814413194972e-07,0.00823626229508197,0.833333333333333,Inf,Inf,35405386.3133333,40984.7124111,40984.7124111,4555246784.42821,Inf
"51","Mumbai",2011,1.53840770210958,9.56280317802028e-07,0.00857869733308961,0.833333333333333,Inf,Inf,20390333.2045537,36876.1542377,28145.6542377,6538682123.57182,Inf
"52","New York City",2001,NA,NA,0,NA,NA,NA,NA,0,0,0,NA
"53","New York City",2006,NA,NA,0,1,Inf,NA,0,0,0,21833443880,NA
"54","New York City",2011,1.23367019285096,Inf,0.127209364164462,NA,Inf,NA,0,493765.5439008,493765.5439008,13104.7907565,Inf
"55","Osaka",2001,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"56","Osaka",2006,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"57","Osaka",2011,1.6460782446383,2561.92885375494,0.0758579202996079,1,Inf,Inf,0.0742587697992812,183596.65128,183596.65128,5027551017.87283,Inf
"58","Paris",2001,1.05183110880857,1.64973470502825e-06,0.0694127014545484,NA,Inf,Inf,98433078.4163334,164976.27748,164976.27748,1250836419.28418,0.0575052993425081
"59","Paris",2006,0.979007112723317,1.40987928143628e-06,0.0680545940133884,NA,NA,Inf,Inf,179994.50487,179994.50487,1409.7053,0.0584985100572163
"60","Paris",2011,1.32812617132465,1.11003145994943e-06,0.0632080838610053,0.943209046353958,0.0877077571624198,9061195.69076068,103311223.361702,188064.726,183666.226,5064193831.3206,0.0558422758845275
"61","Rio de Janeiro",2001,1.22834487346919,2.88483333333333e-06,0.0229316176683683,0.459740274087617,NA,Inf,Inf,48045.65692,48045.65692,4607992810.55788,0.0304444642309826
"62","Rio de Janeiro",2006,1.34365000803743,2.87709057971014e-06,0.0275385387279937,0.475108837738678,Inf,Inf,27319970.3043801,51860.626586,51860.626586,4746299821.54343,0.0387968507442274
"63","Rio de Janeiro",2011,1.50310990210774,2.24368757687577e-06,0.0306319693612799,0.648409631297559,1.1437125748503,51244878.6637252,44805731.6065032,69261.922053,63867.822053,5027012820.85693,0.0445611910342817
"64","Sao Paulo",2001,1.23490019508065,2.63192681388013e-06,0.0233280890479436,0.565131781716993,NA,Inf,Inf,76253.7772,76253.7772,5139517639.43532,0.0347389344787668
"65","Sao Paulo",2006,1.2519661965935,1.79757325319309e-06,0.0249362788583385,0.548845296812931,Inf,Inf,59208185.0533808,79832.320296,79832.320296,5646554607.14249,0.0398481411303005
"66","Sao Paulo",2011,1.27505206944832,1.38828268210323e-06,0.0290367151889925,0.583374646757752,0.380121148961115,27004494.2356543,71041809.4585332,117923.141293,102387.021793,6115396037.2485,0.0479314560661979
"67","Seoul",2001,0,NA,NA,NA,NA,NA,NA,6430.4775815,6430.4775815,0,0
"68","Seoul",2006,1.23402461202911,2.93721374443148e-06,0.0805626380500765,0.908713188152731,Inf,Inf,98268283.3431331,161212.0334376,161212.0334376,3619137364.25368,1.03313948164908
