"biochemical_wheatStraw_ethanol-l.yaml","power_generation"
"biochemical_wheatStraw_ethanol-s.yaml","power_generation"
"biochemical_woodChips_ethanol-l.yaml","power_generation"
"biochemical_woodChips_ethanol-s.yaml","power_generation"
"biogas-CHP-l.yaml","power_generation"
"biogas-CHP-s.yaml","power_generation"
"biomass-gasification-l.yaml","power_generation"
"biomass-gasification-s.yaml","power_generation"
"CHP-biomass-l.yaml","power_generation"
"CHP-biomass-s.yaml","power_generation"
"CHP-decentralised-fuelCell_biomass-l.yaml","power_generation"
"CHP-decentralised-fuelCell_biomass-s.yaml","power_generation"
"CHP-fuelCell_hydrogen-l.yaml","power_generation"
"CHP-fuelCell_hydrogen-s.yaml","power_generation"
"CHP-gas_fuelOil-l.yaml","power_generation"
"CHP-gas_fuelOil-s.yaml","power_generation"
"CHP-gas_gasNatural-l.yaml","power_generation"
"CHP-gas_gasNatural-s.yaml","power_generation"
"CHP-microTurbine_gasNatural-l.yaml","power_generation"
"CHP-microTurbine_gasNatural-s.yaml","power_generation"
"CHP-microTurbine_liquidFuel-l.yaml","power_generation"
"CHP-microTurbine_liquidFuel-s.yaml","power_generation"
"CHP-reciprocatingEngine_gasNatural-l.yaml","power_generation"
"CHP-reciprocatingEngine_gasNatural-s.yaml","power_generation"
"CHP-reciprocatingEngine_LPG-l.yaml","power_generation"
"CHP-reciprocatingEngine_LPG-s.yaml","power_generation"
"CHP-reciprocatingEngine_wasteGas-l.yaml","power_generation"
"CHP-reciprocatingEngine_wasteGas-s.yaml","power_generation"
"CHP-steam-large_biogas.yaml","power_generation"
"CHP-steam-large_fuelOil.yaml","power_generation"
"CHP-steam-large_gasNatural.yaml","power_generation"
"CHP-steam-large_hydrogen.yaml","power_generation"
"CHP-steam-large_liquidFuel.yaml","power_generation"
"CHP-steam-large_LPG.yaml","power_generation"
"CHP-steam-large_methanol.yaml","power_generation"
"CHP-steam-large_propane.yaml","power_generation"
"CHP-steam-large_syngas.yaml","power_generation"
"CHP-steam-large_wasteGas.yaml","power_generation"
"CHP-steam-small_biogas.yaml","power_generation"
"CHP-steam-small_fuelOil.yaml","power_generation"
"CHP-steam-small_gasNatural.yaml","power_generation"
"CHP-steam-small_liquidFuel_hydrogen.yaml","power_generation"
"CHP-steam-small_liquidFuel.yaml","power_generation"
"CHP-steam-small_LPG.yaml","power_generation"
"CHP-steam-small_methanol.yaml","power_generation"
"CHP-steam-small_propane.yaml","power_generation"
"CHP-steam-small_syngas.yaml","power_generation"
"CHP-steam-small_wasteGas.yaml","power_generation"
"CHP.yaml","power_generation"
"coal-combustion-bituminous-l.yaml","power_generation"
"coal-combustion-bituminous-s.yaml","power_generation"
"coalLooping_hydrogen-elec-l.yaml","power_generation"
"coalLooping_hydrogen-elec-s.yaml","power_generation"
"coal-solar-hybrid.yaml","power_generation"
"cofiring-biomass-coal-l.yaml","power_generation"
"cofiring-biomass-coal-s.yaml","power_generation"
"cofiring-boiler_coal-biomass-l.yaml","power_generation"
"cofiring-boiler_coal-biomass-s.yaml","power_generation"
"combustion-biomass-l.yaml","power_generation"
"combustion-biomass-s.yaml","power_generation"
"combustion-coal-combined-cycle-l.yaml","power_generation"
"combustion-coal-combined-cycle-s.yaml","power_generation"
"combustion-coal-l.yaml","power_generation"
"combustion-coal-s.yaml","power_generation"
"combustion-sludgeDigested-l.yaml","power_generation"
"combustion-sludgeDigested-s.yaml","power_generation"
"combustion-sludgeRaw-l.yaml","power_generation"
"combustion-sludgeRaw-s.yaml","power_generation"
