"transp_tech","zone_start","zone_end","isTransp"
"pipe_gas","school","quality",0.00
"pipe_gas","school","reserved",0.00
"pipe_gas","school","residential",0.00
"pipe_gas","school","school",0.00
"pipe_gas","school","tech",0.00
"pipe_gas","tech","dormitories",0.00
"pipe_gas","tech","energyIsland",0.00
"pipe_gas","tech","factory",0.00
"pipe_gas","tech","factory_assembly",0.00
"pipe_gas","tech","factory_blades",0.00
"pipe_gas","tech","hospital",0.00
"pipe_gas","tech","multifunction",0.00
"pipe_gas","tech","northDistrict",0.00
"pipe_gas","tech","quality",0.00
"pipe_gas","tech","reserved",0.00
"pipe_gas","tech","residential",0.00
"pipe_gas","tech","school",0.00
"pipe_gas","tech","tech",0.00
"pipe_hot_primary_feed","dormitories","dormitories",0.00
"pipe_hot_primary_feed","dormitories","energyIsland",0.00
"pipe_hot_primary_feed","dormitories","factory",0.00
"pipe_hot_primary_feed","dormitories","factory_assembly",0.00
"pipe_hot_primary_feed","dormitories","factory_blades",0.00
"pipe_hot_primary_feed","dormitories","hospital",0.00
"pipe_hot_primary_feed","dormitories","multifunction",0.00
"pipe_hot_primary_feed","dormitories","northDistrict",0.00
"pipe_hot_primary_feed","dormitories","quality",0.00
"pipe_hot_primary_feed","dormitories","reserved",0.00
"pipe_hot_primary_feed","dormitories","residential",0.00
"pipe_hot_primary_feed","dormitories","school",0.00
"pipe_hot_primary_feed","dormitories","tech",0.00
"pipe_hot_primary_feed","energyIsland","dormitories",0.00
"pipe_hot_primary_feed","energyIsland","energyIsland",0.00
"pipe_hot_primary_feed","energyIsland","factory",0.00
"pipe_hot_primary_feed","energyIsland","factory_assembly",0.00
"pipe_hot_primary_feed","energyIsland","factory_blades",0.00
"pipe_hot_primary_feed","energyIsland","hospital",0.00
"pipe_hot_primary_feed","energyIsland","multifunction",0.00
"pipe_hot_primary_feed","energyIsland","northDistrict",0.00
"pipe_hot_primary_feed","energyIsland","quality",0.00
"pipe_hot_primary_feed","energyIsland","reserved",0.00
"pipe_hot_primary_feed","energyIsland","residential",0.00
"pipe_hot_primary_feed","energyIsland","school",0.00
"pipe_hot_primary_feed","energyIsland","tech",0.00
"pipe_hot_primary_feed","factory","dormitories",0.00
"pipe_hot_primary_feed","factory","energyIsland",0.00
"pipe_hot_primary_feed","factory","factory",0.00
"pipe_hot_primary_feed","factory","factory_assembly",0.00
"pipe_hot_primary_feed","factory","factory_blades",0.00
"pipe_hot_primary_feed","factory","hospital",0.00
"pipe_hot_primary_feed","factory","multifunction",0.00
"pipe_hot_primary_feed","factory","northDistrict",0.00
"pipe_hot_primary_feed","factory","quality",0.00
"pipe_hot_primary_feed","factory","reserved",0.00
"pipe_hot_primary_feed","factory","residential",0.00
"pipe_hot_primary_feed","factory","school",0.00
"pipe_hot_primary_feed","factory","tech",0.00
"pipe_hot_primary_feed","factory_assembly","dormitories",0.00
"pipe_hot_primary_feed","factory_assembly","energyIsland",0.00
"pipe_hot_primary_feed","factory_assembly","factory",0.00
"pipe_hot_primary_feed","factory_assembly","factory_assembly",0.00
"pipe_hot_primary_feed","factory_assembly","factory_blades",0.00
"pipe_hot_primary_feed","factory_assembly","hospital",0.00
"pipe_hot_primary_feed","factory_assembly","multifunction",0.00
"pipe_hot_primary_feed","factory_assembly","northDistrict",0.00
"pipe_hot_primary_feed","factory_assembly","quality",0.00
"pipe_hot_primary_feed","factory_assembly","reserved",0.00
"pipe_hot_primary_feed","factory_assembly","residential",0.00
"pipe_hot_primary_feed","factory_assembly","school",0.00
"pipe_hot_primary_feed","factory_assembly","tech",0.00
"pipe_hot_primary_feed","factory_blades","dormitories",0.00
"pipe_hot_primary_feed","factory_blades","energyIsland",0.00
"pipe_hot_primary_feed","factory_blades","factory",0.00
"pipe_hot_primary_feed","factory_blades","factory_assembly",0.00
"pipe_hot_primary_feed","factory_blades","factory_blades",0.00
"pipe_hot_primary_feed","factory_blades","hospital",0.00
"pipe_hot_primary_feed","factory_blades","multifunction",0.00
"pipe_hot_primary_feed","factory_blades","northDistrict",0.00
"pipe_hot_primary_feed","factory_blades","quality",0.00
"pipe_hot_primary_feed","factory_blades","reserved",0.00
"pipe_hot_primary_feed","factory_blades","residential",0.00
