"transp_tech","season","zone_start","zone_end","rate"
"pipe_gas","sum","factory_assembly","factory_assembly",0.00
"pipe_gas","shoulder","factory_assembly","factory_assembly",0.00
"pipe_gas","wint","factory_assembly","factory_blades",0.00
"pipe_gas","sum","factory_assembly","factory_blades",0.00
"pipe_gas","shoulder","factory_assembly","factory_blades",0.00
"pipe_gas","wint","factory_assembly","hospital",0.00
"pipe_gas","sum","factory_assembly","hospital",0.00
"pipe_gas","shoulder","factory_assembly","hospital",0.00
"pipe_gas","wint","factory_assembly","multifunction",0.00
"pipe_gas","sum","factory_assembly","multifunction",0.00
"pipe_gas","shoulder","factory_assembly","multifunction",0.00
"pipe_gas","wint","factory_assembly","northDistrict",0.00
"pipe_gas","sum","factory_assembly","northDistrict",0.00
"pipe_gas","shoulder","factory_assembly","northDistrict",0.00
"pipe_gas","wint","factory_assembly","quality",0.00
"pipe_gas","sum","factory_assembly","quality",0.00
"pipe_gas","shoulder","factory_assembly","quality",0.00
"pipe_gas","wint","factory_assembly","reserved",0.00
"pipe_gas","sum","factory_assembly","reserved",0.00
"pipe_gas","shoulder","factory_assembly","reserved",0.00
"pipe_gas","wint","factory_assembly","residential",0.00
"pipe_gas","sum","factory_assembly","residential",0.00
"pipe_gas","shoulder","factory_assembly","residential",0.00
"pipe_gas","wint","factory_assembly","school",0.00
"pipe_gas","sum","factory_assembly","school",0.00
"pipe_gas","shoulder","factory_assembly","school",0.00
"pipe_gas","wint","factory_assembly","tech",0.00
"pipe_gas","sum","factory_assembly","tech",0.00
"pipe_gas","shoulder","factory_assembly","tech",0.00
"pipe_gas","wint","factory_blades","dormitories",0.00
"pipe_gas","sum","factory_blades","dormitories",0.00
"pipe_gas","shoulder","factory_blades","dormitories",0.00
"pipe_gas","wint","factory_blades","energyIsland",0.00
"pipe_gas","sum","factory_blades","energyIsland",0.00
"pipe_gas","shoulder","factory_blades","energyIsland",0.00
"pipe_gas","wint","factory_blades","factory",0.00
"pipe_gas","sum","factory_blades","factory",0.00
"pipe_gas","shoulder","factory_blades","factory",0.00
"pipe_gas","wint","factory_blades","factory_assembly",0.00
"pipe_gas","sum","factory_blades","factory_assembly",0.00
"pipe_gas","shoulder","factory_blades","factory_assembly",0.00
"pipe_gas","wint","factory_blades","factory_blades",0.00
"pipe_gas","sum","factory_blades","factory_blades",0.00
"pipe_gas","shoulder","factory_blades","factory_blades",0.00
"pipe_gas","wint","factory_blades","hospital",0.00
"pipe_gas","sum","factory_blades","hospital",0.00
"pipe_gas","shoulder","factory_blades","hospital",0.00
"pipe_gas","wint","factory_blades","multifunction",0.00
"pipe_gas","sum","factory_blades","multifunction",0.00
"pipe_gas","shoulder","factory_blades","multifunction",0.00
"pipe_gas","wint","factory_blades","northDistrict",0.00
"pipe_gas","sum","factory_blades","northDistrict",0.00
"pipe_gas","shoulder","factory_blades","northDistrict",0.00
"pipe_gas","wint","factory_blades","quality",0.00
"pipe_gas","sum","factory_blades","quality",0.00
"pipe_gas","shoulder","factory_blades","quality",0.00
"pipe_gas","wint","factory_blades","reserved",0.00
"pipe_gas","sum","factory_blades","reserved",0.00
"pipe_gas","shoulder","factory_blades","reserved",0.00
"pipe_gas","wint","factory_blades","residential",0.00
"pipe_gas","sum","factory_blades","residential",0.00
"pipe_gas","shoulder","factory_blades","residential",0.00
"pipe_gas","wint","factory_blades","school",0.00
"pipe_gas","sum","factory_blades","school",0.00
"pipe_gas","shoulder","factory_blades","school",0.00
"pipe_gas","wint","factory_blades","tech",0.00
"pipe_gas","sum","factory_blades","tech",0.00
"pipe_gas","shoulder","factory_blades","tech",0.00
"pipe_gas","wint","hospital","dormitories",0.00
"pipe_gas","sum","hospital","dormitories",0.00
"pipe_gas","shoulder","hospital","dormitories",0.00
"pipe_gas","wint","hospital","energyIsland",0.00
"pipe_gas","sum","hospital","energyIsland",0.00
"pipe_gas","shoulder","hospital","energyIsland",0.00
"pipe_gas","wint","hospital","factory",0.00
"pipe_gas","sum","hospital","factory",0.00
"pipe_gas","shoulder","hospital","factory",0.00
"pipe_gas","wint","hospital","factory_assembly",0.00
"pipe_gas","sum","hospital","factory_assembly",0.00
"pipe_gas","shoulder","hospital","factory_assembly",0.00
