"transp_tech","resource","season","zone","value"
"pipe_gas","biodiesel","sum","factory_blades",0.00
"pipe_gas","biodiesel","shoulder","factory_blades",0.00
"pipe_gas","biodiesel","wint","hospital",0.00
"pipe_gas","biodiesel","sum","hospital",0.00
"pipe_gas","biodiesel","shoulder","hospital",0.00
"pipe_gas","biodiesel","wint","multifunction",0.00
"pipe_gas","biodiesel","sum","multifunction",0.00
"pipe_gas","biodiesel","shoulder","multifunction",0.00
"pipe_gas","biodiesel","wint","northDistrict",0.00
"pipe_gas","biodiesel","sum","northDistrict",0.00
"pipe_gas","biodiesel","shoulder","northDistrict",0.00
"pipe_gas","biodiesel","wint","quality",0.00
"pipe_gas","biodiesel","sum","quality",0.00
"pipe_gas","biodiesel","shoulder","quality",0.00
"pipe_gas","biodiesel","wint","reserved",0.00
"pipe_gas","biodiesel","sum","reserved",0.00
"pipe_gas","biodiesel","shoulder","reserved",0.00
"pipe_gas","biodiesel","wint","residential",0.00
"pipe_gas","biodiesel","sum","residential",0.00
"pipe_gas","biodiesel","shoulder","residential",0.00
"pipe_gas","biodiesel","wint","school",0.00
"pipe_gas","biodiesel","sum","school",0.00
"pipe_gas","biodiesel","shoulder","school",0.00
"pipe_gas","biodiesel","wint","tech",0.00
"pipe_gas","biodiesel","sum","tech",0.00
"pipe_gas","biodiesel","shoulder","tech",0.00
"pipe_gas","biogas","wint","dormitories",0.00
"pipe_gas","biogas","sum","dormitories",0.00
"pipe_gas","biogas","shoulder","dormitories",0.00
"pipe_gas","biogas","wint","energyIsland",0.00
"pipe_gas","biogas","sum","energyIsland",0.00
"pipe_gas","biogas","shoulder","energyIsland",0.00
"pipe_gas","biogas","wint","factory",0.00
"pipe_gas","biogas","sum","factory",0.00
"pipe_gas","biogas","shoulder","factory",0.00
"pipe_gas","biogas","wint","factory_assembly",0.00
"pipe_gas","biogas","sum","factory_assembly",0.00
"pipe_gas","biogas","shoulder","factory_assembly",0.00
"pipe_gas","biogas","wint","factory_blades",0.00
"pipe_gas","biogas","sum","factory_blades",0.00
"pipe_gas","biogas","shoulder","factory_blades",0.00
"pipe_gas","biogas","wint","hospital",0.00
"pipe_gas","biogas","sum","hospital",0.00
"pipe_gas","biogas","shoulder","hospital",0.00
"pipe_gas","biogas","wint","multifunction",0.00
"pipe_gas","biogas","sum","multifunction",0.00
"pipe_gas","biogas","shoulder","multifunction",0.00
