"resource","quality","season","zone","value"
"algaeDry","energy","shoulder","tech",0.00
"ash","mass","wint","dormitories",0.00
"ash","mass","sum","dormitories",0.00
"ash","mass","shoulder","dormitories",0.00
"ash","mass","wint","energyIsland",0.00
"ash","mass","sum","energyIsland",0.00
"ash","mass","shoulder","energyIsland",0.00
"ash","mass","wint","factory",0.00
"ash","mass","sum","factory",0.00
"ash","mass","shoulder","factory",0.00
"ash","mass","wint","factory_assembly",0.00
"ash","mass","sum","factory_assembly",0.00
"ash","mass","shoulder","factory_assembly",0.00
"ash","mass","wint","factory_blades",0.00
"ash","mass","sum","factory_blades",0.00
"ash","mass","shoulder","factory_blades",0.00
"ash","mass","wint","hospital",0.00
"ash","mass","sum","hospital",0.00
"ash","mass","shoulder","hospital",0.00
"ash","mass","wint","multifunction",0.00
"ash","mass","sum","multifunction",0.00
"ash","mass","shoulder","multifunction",0.00
"ash","mass","wint","northDistrict",0.00
"ash","mass","sum","northDistrict",0.00
"ash","mass","shoulder","northDistrict",0.00
"ash","mass","wint","quality",0.00
"ash","mass","sum","quality",0.00
"ash","mass","shoulder","quality",0.00
"ash","mass","wint","reserved",0.00
"ash","mass","sum","reserved",0.00
"ash","mass","shoulder","reserved",0.00
"ash","mass","wint","residential",0.00
"ash","mass","sum","residential",0.00
"ash","mass","shoulder","residential",0.00
"ash","mass","wint","school",0.00
"ash","mass","sum","school",0.00
"ash","mass","shoulder","school",0.00
"ash","mass","wint","tech",0.00
"ash","mass","sum","tech",0.00
"ash","mass","shoulder","tech",0.00
"ash","energy","wint","dormitories",0.00
"ash","energy","sum","dormitories",0.00
"ash","energy","shoulder","dormitories",0.00
"ash","energy","wint","energyIsland",0.00
"ash","energy","sum","energyIsland",0.00
"ash","energy","shoulder","energyIsland",0.00
"ash","energy","wint","factory",0.00
"ash","energy","sum","factory",0.00
"ash","energy","shoulder","factory",0.00
"ash","energy","wint","factory_assembly",0.00
"ash","energy","sum","factory_assembly",0.00
"ash","energy","shoulder","factory_assembly",0.00
"ash","energy","wint","factory_blades",0.00
"ash","energy","sum","factory_blades",0.00
"ash","energy","shoulder","factory_blades",0.00
"ash","energy","wint","hospital",0.00
"ash","energy","sum","hospital",0.00
"ash","energy","shoulder","hospital",0.00
"ash","energy","wint","multifunction",0.00
"ash","energy","sum","multifunction",0.00
"ash","energy","shoulder","multifunction",0.00
"ash","energy","wint","northDistrict",0.00
"ash","energy","sum","northDistrict",0.00
"ash","energy","shoulder","northDistrict",0.00
"ash","energy","wint","quality",0.00
"ash","energy","sum","quality",0.00
"ash","energy","shoulder","quality",0.00
"ash","energy","wint","reserved",0.00
"ash","energy","sum","reserved",0.00
"ash","energy","shoulder","reserved",0.00
"ash","energy","wint","residential",0.00
"ash","energy","sum","residential",0.00
"ash","energy","shoulder","residential",0.00
"ash","energy","wint","school",0.00
"ash","energy","sum","school",0.00
"ash","energy","shoulder","school",0.00
"ash","energy","wint","tech",0.00
"ash","energy","sum","tech",0.00
"ash","energy","shoulder","tech",0.00
"biodiesel","mass","wint","dormitories",0.00
"biodiesel","mass","sum","dormitories",0.00
"biodiesel","mass","shoulder","dormitories",0.00
"biodiesel","mass","wint","energyIsland",0.00
"biodiesel","mass","sum","energyIsland",0.00
"biodiesel","mass","shoulder","energyIsland",0.00
"biodiesel","mass","wint","factory",0.00
"biodiesel","mass","sum","factory",0.00
"biodiesel","mass","shoulder","factory",0.00
"biodiesel","mass","wint","factory_assembly",0.00
"biodiesel","mass","sum","factory_assembly",0.00
"biodiesel","mass","shoulder","factory_assembly",0.00
"biodiesel","mass","wint","factory_blades",0.00
"biodiesel","mass","sum","factory_blades",0.00
"biodiesel","mass","shoulder","factory_blades",0.00
"biodiesel","mass","wint","hospital",0.00
"biodiesel","mass","sum","hospital",0.00
"biodiesel","mass","shoulder","hospital",0.00
"biodiesel","mass","wint","multifunction",0.00
"biodiesel","mass","sum","multifunction",0.00
"biodiesel","mass","shoulder","multifunction",0.00
"biodiesel","mass","wint","northDistrict",0.00
"biodiesel","mass","sum","northDistrict",0.00
"biodiesel","mass","shoulder","northDistrict",0.00
"biodiesel","mass","wint","quality",0.00
"biodiesel","mass","sum","quality",0.00
"biodiesel","mass","shoulder","quality",0.00
"biodiesel","mass","wint","reserved",0.00
"biodiesel","mass","sum","reserved",0.00
"biodiesel","mass","shoulder","reserved",0.00
"biodiesel","mass","wint","residential",0.00
"biodiesel","mass","sum","residential",0.00
"biodiesel","mass","shoulder","residential",0.00
"biodiesel","mass","wint","school",0.00
"biodiesel","mass","sum","school",0.00
"biodiesel","mass","shoulder","school",0.00
"biodiesel","mass","wint","tech",0.00
"biodiesel","mass","sum","tech",0.00
"biodiesel","mass","shoulder","tech",0.00
"biodiesel","energy","wint","dormitories",0.00
"biodiesel","energy","sum","dormitories",0.00
"biodiesel","energy","shoulder","dormitories",0.00
"biodiesel","energy","wint","energyIsland",0.00
"biodiesel","energy","sum","energyIsland",0.00
"biodiesel","energy","shoulder","energyIsland",0.00
"biodiesel","energy","wint","factory",0.00
"biodiesel","energy","sum","factory",0.00
"biodiesel","energy","shoulder","factory",0.00
"biodiesel","energy","wint","factory_assembly",0.00
"biodiesel","energy","sum","factory_assembly",0.00
"biodiesel","energy","shoulder","factory_assembly",0.00
"biodiesel","energy","wint","factory_blades",0.00
"biodiesel","energy","sum","factory_blades",0.00
"biodiesel","energy","shoulder","factory_blades",0.00
"biodiesel","energy","wint","hospital",0.00
"biodiesel","energy","sum","hospital",0.00
"biodiesel","energy","shoulder","hospital",0.00
"biodiesel","energy","wint","multifunction",0.00
"biodiesel","energy","sum","multifunction",0.00
"biodiesel","energy","shoulder","multifunction",0.00
"biodiesel","energy","wint","northDistrict",0.00
"biodiesel","energy","sum","northDistrict",0.00
"biodiesel","energy","shoulder","northDistrict",0.00
"biodiesel","energy","wint","quality",0.00
"biodiesel","energy","sum","quality",0.00
"biodiesel","energy","shoulder","quality",0.00
"biodiesel","energy","wint","reserved",0.00
"biodiesel","energy","sum","reserved",0.00
"biodiesel","energy","shoulder","reserved",0.00
"biodiesel","energy","wint","residential",0.00
"biodiesel","energy","sum","residential",0.00
"biodiesel","energy","shoulder","residential",0.00
"biodiesel","energy","wint","school",0.00
"biodiesel","energy","sum","school",0.00
"biodiesel","energy","shoulder","school",0.00
"biodiesel","energy","wint","tech",0.00
"biodiesel","energy","sum","tech",0.00
"biodiesel","energy","shoulder","tech",0.00
"biogas","mass","wint","dormitories",0.00
"biogas","mass","sum","dormitories",0.00
"biogas","mass","shoulder","dormitories",0.00
"biogas","mass","wint","energyIsland",0.00
"biogas","mass","sum","energyIsland",0.00
"biogas","mass","shoulder","energyIsland",0.00
"biogas","mass","wint","factory",0.00
"biogas","mass","sum","factory",0.00
"biogas","mass","shoulder","factory",0.00
"biogas","mass","wint","factory_assembly",0.00
"biogas","mass","sum","factory_assembly",0.00
"biogas","mass","shoulder","factory_assembly",0.00
"biogas","mass","wint","factory_blades",0.00
"biogas","mass","sum","factory_blades",0.00
"biogas","mass","shoulder","factory_blades",0.00
"biogas","mass","wint","hospital",0.00
"biogas","mass","sum","hospital",0.00
"biogas","mass","shoulder","hospital",0.00
"biogas","mass","wint","multifunction",0.00
"biogas","mass","sum","multifunction",0.00
"biogas","mass","shoulder","multifunction",0.00
"biogas","mass","wint","northDistrict",0.00
"biogas","mass","sum","northDistrict",0.00
"biogas","mass","shoulder","northDistrict",0.00
"biogas","mass","wint","quality",0.00
"biogas","mass","sum","quality",0.00
"biogas","mass","shoulder","quality",0.00
"biogas","mass","wint","reserved",0.00
"biogas","mass","sum","reserved",0.00
"biogas","mass","shoulder","reserved",0.00
"biogas","mass","wint","residential",0.00
"biogas","mass","sum","residential",0.00
"biogas","mass","shoulder","residential",0.00
"biogas","mass","wint","school",0.00
"biogas","mass","sum","school",0.00
"biogas","mass","shoulder","school",0.00
"biogas","mass","wint","tech",0.00
"biogas","mass","sum","tech",0.00
"biogas","mass","shoulder","tech",0.00
"biogas","energy","wint","dormitories",0.00
"biogas","energy","sum","dormitories",0.00
"biogas","energy","shoulder","dormitories",0.00
"biogas","energy","wint","energyIsland",0.00
"biogas","energy","sum","energyIsland",0.00
"biogas","energy","shoulder","energyIsland",0.00
"biogas","energy","wint","factory",0.00
"biogas","energy","sum","factory",0.00
"biogas","energy","shoulder","factory",0.00
"biogas","energy","wint","factory_assembly",0.00
"biogas","energy","sum","factory_assembly",0.00
"biogas","energy","shoulder","factory_assembly",0.00
"biogas","energy","wint","factory_blades",0.00
"biogas","energy","sum","factory_blades",0.00
"biogas","energy","shoulder","factory_blades",0.00
"biogas","energy","wint","hospital",0.00
"biogas","energy","sum","hospital",0.00
"biogas","energy","shoulder","hospital",0.00
"biogas","energy","wint","multifunction",0.00
"biogas","energy","sum","multifunction",0.00
"biogas","energy","shoulder","multifunction",0.00
"biogas","energy","wint","northDistrict",0.00
"biogas","energy","sum","northDistrict",0.00
"biogas","energy","shoulder","northDistrict",0.00
"biogas","energy","wint","quality",0.00
"biogas","energy","sum","quality",0.00
"biogas","energy","shoulder","quality",0.00
"biogas","energy","wint","reserved",0.00
"biogas","energy","sum","reserved",0.00
"biogas","energy","shoulder","reserved",0.00
"biogas","energy","wint","residential",0.00
"biogas","energy","sum","residential",0.00
"biogas","energy","shoulder","residential",0.00
"biogas","energy","wint","school",0.00
"biogas","energy","sum","school",0.00
"biogas","energy","shoulder","school",0.00
"biogas","energy","wint","tech",0.00
"biogas","energy","sum","tech",0.00
"biogas","energy","shoulder","tech",0.00
"biomass","mass","wint","dormitories",0.00
"biomass","mass","sum","dormitories",0.00
"biomass","mass","shoulder","dormitories",0.00
"biomass","mass","wint","energyIsland",0.00
"biomass","mass","sum","energyIsland",0.00
"biomass","mass","shoulder","energyIsland",0.00
"biomass","mass","wint","factory",0.00
"biomass","mass","sum","factory",0.00
"biomass","mass","shoulder","factory",0.00
"biomass","mass","wint","factory_assembly",0.00
"biomass","mass","sum","factory_assembly",0.00
"biomass","mass","shoulder","factory_assembly",0.00
"biomass","mass","wint","factory_blades",0.00
"biomass","mass","sum","factory_blades",0.00
"biomass","mass","shoulder","factory_blades",0.00
"biomass","mass","wint","hospital",0.00
"biomass","mass","sum","hospital",0.00
"biomass","mass","shoulder","hospital",0.00
"biomass","mass","wint","multifunction",0.00
"biomass","mass","sum","multifunction",0.00
"biomass","mass","shoulder","multifunction",0.00
"biomass","mass","wint","northDistrict",0.00
"biomass","mass","sum","northDistrict",0.00
"biomass","mass","shoulder","northDistrict",0.00
"biomass","mass","wint","quality",0.00
"biomass","mass","sum","quality",0.00
"biomass","mass","shoulder","quality",0.00
"biomass","mass","wint","reserved",0.00
"biomass","mass","sum","reserved",0.00
"biomass","mass","shoulder","reserved",0.00
"biomass","mass","wint","residential",0.00
"biomass","mass","sum","residential",0.00
"biomass","mass","shoulder","residential",0.00
"biomass","mass","wint","school",0.00
"biomass","mass","sum","school",0.00
"biomass","mass","shoulder","school",0.00
"biomass","mass","wint","tech",0.00
"biomass","mass","sum","tech",0.00
"biomass","mass","shoulder","tech",0.00
"biomass","energy","wint","dormitories",0.00
"biomass","energy","sum","dormitories",0.00
"biomass","energy","shoulder","dormitories",0.00
"biomass","energy","wint","energyIsland",0.00
"biomass","energy","sum","energyIsland",0.00
"biomass","energy","shoulder","energyIsland",0.00
"biomass","energy","wint","factory",0.00
"biomass","energy","sum","factory",0.00
"biomass","energy","shoulder","factory",0.00
"biomass","energy","wint","factory_assembly",0.00
"biomass","energy","sum","factory_assembly",0.00
"biomass","energy","shoulder","factory_assembly",0.00
"biomass","energy","wint","factory_blades",0.00
"biomass","energy","sum","factory_blades",0.00
"biomass","energy","shoulder","factory_blades",0.00
"biomass","energy","wint","hospital",0.00
"biomass","energy","sum","hospital",0.00
"biomass","energy","shoulder","hospital",0.00
"biomass","energy","wint","multifunction",0.00
"biomass","energy","sum","multifunction",0.00
"biomass","energy","shoulder","multifunction",0.00
"biomass","energy","wint","northDistrict",0.00
"biomass","energy","sum","northDistrict",0.00
"biomass","energy","shoulder","northDistrict",0.00
"biomass","energy","wint","quality",0.00
"biomass","energy","sum","quality",0.00
"biomass","energy","shoulder","quality",0.00
"biomass","energy","wint","reserved",0.00
"biomass","energy","sum","reserved",0.00
"biomass","energy","shoulder","reserved",0.00
"biomass","energy","wint","residential",0.00
"biomass","energy","sum","residential",0.00
"biomass","energy","shoulder","residential",0.00
"biomass","energy","wint","school",0.00
"biomass","energy","sum","school",0.00
"biomass","energy","shoulder","school",0.00
"biomass","energy","wint","tech",0.00
"biomass","energy","sum","tech",0.00
"biomass","energy","shoulder","tech",0.00
"biomassAgriWaste","mass","wint","dormitories",0.00
"biomassAgriWaste","mass","sum","dormitories",0.00
"biomassAgriWaste","mass","shoulder","dormitories",0.00
"biomassAgriWaste","mass","wint","energyIsland",0.00
"biomassAgriWaste","mass","sum","energyIsland",0.00
"biomassAgriWaste","mass","shoulder","energyIsland",0.00
"biomassAgriWaste","mass","wint","factory",0.00
"biomassAgriWaste","mass","sum","factory",0.00
"biomassAgriWaste","mass","shoulder","factory",0.00
"biomassAgriWaste","mass","wint","factory_assembly",0.00
"biomassAgriWaste","mass","sum","factory_assembly",0.00
"biomassAgriWaste","mass","shoulder","factory_assembly",0.00
"biomassAgriWaste","mass","wint","factory_blades",0.00
"biomassAgriWaste","mass","sum","factory_blades",0.00
"biomassAgriWaste","mass","shoulder","factory_blades",0.00
"biomassAgriWaste","mass","wint","hospital",0.00
"biomassAgriWaste","mass","sum","hospital",0.00
"biomassAgriWaste","mass","shoulder","hospital",0.00
"biomassAgriWaste","mass","wint","multifunction",0.00
"biomassAgriWaste","mass","sum","multifunction",0.00
"biomassAgriWaste","mass","shoulder","multifunction",0.00
"biomassAgriWaste","mass","wint","northDistrict",0.00
"biomassAgriWaste","mass","sum","northDistrict",0.00
"biomassAgriWaste","mass","shoulder","northDistrict",0.00
"biomassAgriWaste","mass","wint","quality",0.00
"biomassAgriWaste","mass","sum","quality",0.00
"biomassAgriWaste","mass","shoulder","quality",0.00
"biomassAgriWaste","mass","wint","reserved",0.00
"biomassAgriWaste","mass","sum","reserved",0.00
"biomassAgriWaste","mass","shoulder","reserved",0.00
"biomassAgriWaste","mass","wint","residential",0.00
"biomassAgriWaste","mass","sum","residential",0.00
"biomassAgriWaste","mass","shoulder","residential",0.00
"biomassAgriWaste","mass","wint","school",0.00
"biomassAgriWaste","mass","sum","school",0.00
"biomassAgriWaste","mass","shoulder","school",0.00
"biomassAgriWaste","mass","wint","tech",0.00
"biomassAgriWaste","mass","sum","tech",0.00
"biomassAgriWaste","mass","shoulder","tech",0.00
"biomassAgriWaste","energy","wint","dormitories",0.00
"biomassAgriWaste","energy","sum","dormitories",0.00
"biomassAgriWaste","energy","shoulder","dormitories",0.00
"biomassAgriWaste","energy","wint","energyIsland",0.00
"biomassAgriWaste","energy","sum","energyIsland",0.00
"biomassAgriWaste","energy","shoulder","energyIsland",0.00
"biomassAgriWaste","energy","wint","factory",0.00
"biomassAgriWaste","energy","sum","factory",0.00
"biomassAgriWaste","energy","shoulder","factory",0.00
"biomassAgriWaste","energy","wint","factory_assembly",0.00
"biomassAgriWaste","energy","sum","factory_assembly",0.00
"biomassAgriWaste","energy","shoulder","factory_assembly",0.00
"biomassAgriWaste","energy","wint","factory_blades",0.00
"biomassAgriWaste","energy","sum","factory_blades",0.00
"biomassAgriWaste","energy","shoulder","factory_blades",0.00
"biomassAgriWaste","energy","wint","hospital",0.00
"biomassAgriWaste","energy","sum","hospital",0.00
"biomassAgriWaste","energy","shoulder","hospital",0.00
"biomassAgriWaste","energy","wint","multifunction",0.00
"biomassAgriWaste","energy","sum","multifunction",0.00
"biomassAgriWaste","energy","shoulder","multifunction",0.00
"biomassAgriWaste","energy","wint","northDistrict",0.00
"biomassAgriWaste","energy","sum","northDistrict",0.00
"biomassAgriWaste","energy","shoulder","northDistrict",0.00
"biomassAgriWaste","energy","wint","quality",0.00
"biomassAgriWaste","energy","sum","quality",0.00
"biomassAgriWaste","energy","shoulder","quality",0.00
"biomassAgriWaste","energy","wint","reserved",0.00
"biomassAgriWaste","energy","sum","reserved",0.00
"biomassAgriWaste","energy","shoulder","reserved",0.00
"biomassAgriWaste","energy","wint","residential",0.00
"biomassAgriWaste","energy","sum","residential",0.00
"biomassAgriWaste","energy","shoulder","residential",0.00
"biomassAgriWaste","energy","wint","school",0.00
"biomassAgriWaste","energy","sum","school",0.00
"biomassAgriWaste","energy","shoulder","school",0.00
"biomassAgriWaste","energy","wint","tech",0.00
"biomassAgriWaste","energy","sum","tech",0.00
"biomassAgriWaste","energy","shoulder","tech",0.00
"biooil","mass","wint","dormitories",0.00
"biooil","mass","sum","dormitories",0.00
"biooil","mass","shoulder","dormitories",0.00
"biooil","mass","wint","energyIsland",0.00
"biooil","mass","sum","energyIsland",0.00
"biooil","mass","shoulder","energyIsland",0.00
"biooil","mass","wint","factory",0.00
"biooil","mass","sum","factory",0.00
"biooil","mass","shoulder","factory",0.00
"biooil","mass","wint","factory_assembly",0.00
"biooil","mass","sum","factory_assembly",0.00
"biooil","mass","shoulder","factory_assembly",0.00
"biooil","mass","wint","factory_blades",0.00
"biooil","mass","sum","factory_blades",0.00
"biooil","mass","shoulder","factory_blades",0.00
"biooil","mass","wint","hospital",0.00
"biooil","mass","sum","hospital",0.00
"biooil","mass","shoulder","hospital",0.00
"biooil","mass","wint","multifunction",0.00
"biooil","mass","sum","multifunction",0.00
"biooil","mass","shoulder","multifunction",0.00
"biooil","mass","wint","northDistrict",0.00
"biooil","mass","sum","northDistrict",0.00
"biooil","mass","shoulder","northDistrict",0.00
"biooil","mass","wint","quality",0.00
"biooil","mass","sum","quality",0.00
"biooil","mass","shoulder","quality",0.00
"biooil","mass","wint","reserved",0.00
"biooil","mass","sum","reserved",0.00
"biooil","mass","shoulder","reserved",0.00
"biooil","mass","wint","residential",0.00
"biooil","mass","sum","residential",0.00
"biooil","mass","shoulder","residential",0.00
"biooil","mass","wint","school",0.00
"biooil","mass","sum","school",0.00
"biooil","mass","shoulder","school",0.00
"biooil","mass","wint","tech",0.00
"biooil","mass","sum","tech",0.00
"biooil","mass","shoulder","tech",0.00
"biooil","energy","wint","dormitories",0.00
"biooil","energy","sum","dormitories",0.00
"biooil","energy","shoulder","dormitories",0.00
"biooil","energy","wint","energyIsland",0.00
"biooil","energy","sum","energyIsland",0.00
"biooil","energy","shoulder","energyIsland",0.00
"biooil","energy","wint","factory",0.00
"biooil","energy","sum","factory",0.00
"biooil","energy","shoulder","factory",0.00
"biooil","energy","wint","factory_assembly",0.00
"biooil","energy","sum","factory_assembly",0.00
"biooil","energy","shoulder","factory_assembly",0.00
"biooil","energy","wint","factory_blades",0.00
"biooil","energy","sum","factory_blades",0.00
"biooil","energy","shoulder","factory_blades",0.00
"biooil","energy","wint","hospital",0.00
"biooil","energy","sum","hospital",0.00
"biooil","energy","shoulder","hospital",0.00
"biooil","energy","wint","multifunction",0.00
"biooil","energy","sum","multifunction",0.00
"biooil","energy","shoulder","multifunction",0.00
"biooil","energy","wint","northDistrict",0.00
"biooil","energy","sum","northDistrict",0.00
"biooil","energy","shoulder","northDistrict",0.00
"biooil","energy","wint","quality",0.00
"biooil","energy","sum","quality",0.00
"biooil","energy","shoulder","quality",0.00
"biooil","energy","wint","reserved",0.00
"biooil","energy","sum","reserved",0.00
"biooil","energy","shoulder","reserved",0.00
"biooil","energy","wint","residential",0.00
"biooil","energy","sum","residential",0.00
"biooil","energy","shoulder","residential",0.00
"biooil","energy","wint","school",0.00
"biooil","energy","sum","school",0.00
"biooil","energy","shoulder","school",0.00
"biooil","energy","wint","tech",0.00
"biooil","energy","sum","tech",0.00
"biooil","energy","shoulder","tech",0.00
"butanol","mass","wint","dormitories",0.00
"butanol","mass","sum","dormitories",0.00
"butanol","mass","shoulder","dormitories",0.00
"butanol","mass","wint","energyIsland",0.00
"butanol","mass","sum","energyIsland",0.00
"butanol","mass","shoulder","energyIsland",0.00
"butanol","mass","wint","factory",0.00
"butanol","mass","sum","factory",0.00
"butanol","mass","shoulder","factory",0.00
"butanol","mass","wint","factory_assembly",0.00
"butanol","mass","sum","factory_assembly",0.00
"butanol","mass","shoulder","factory_assembly",0.00
"butanol","mass","wint","factory_blades",0.00
"butanol","mass","sum","factory_blades",0.00
"butanol","mass","shoulder","factory_blades",0.00
"butanol","mass","wint","hospital",0.00
"butanol","mass","sum","hospital",0.00
