Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Song, T., Cai, J.-M., Chahine, T., Xu, H., Niu, F.-Q.","Modeling urban metabolism of Beijing city, China: With a coupled system dynamics: Emergy model",keep,"“the dynamic simulation model used in the paper is capable of synthesizing component-level knoweldge int osystem behaviour simulation at an integrated level, which is directly useful for simulating and avaluating a variety of decisions actions and their dynamic consequaences”. System dynamics: “understanding how the physical processes, information flows and manageral policies interact so as to create the dynamics of the variables of interest.” See Fig. 2. “Based on the internal emergy accountin of urban metabolism (Fig. 3), the urban emergy metabolic SD model is divided into the following sectors:... Each susbsystem has level variables and rate varaibles and auxiliary variables, all of which are connected by equations.” Leads to policy suggestions.",2014,Stochastic Environmental Research and Risk Assessment,28,6,,1511,1524,,1,10.1007/s00477-013-0830-y,http://www.scopus.com/inward/record.url?eid=2-s2.0-84903511728&partnerID=40&md5=38590e43d4236018ae0b88ae1cb5c7d9,Article,Scopus,2-s2.0-84903511728
"Xian, C.-F., Ouyang, Z.-Y.",Urban ecosystem nitrogen metabolism: Research progress,keep,Can't access full artice. MFA to invistigate nitrogen metaoblism (e.g. “fate of industrial nitrogen metabolism”) and “support for the reduction of anthropogenic reactive notrigen emissons in urban regions”),2014,Chinese Journal of Ecology,33,9,,2548,2557,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84907967268&partnerID=40&md5=4fea6b4e5b82820b0e57275975486417,Article,Scopus,2-s2.0-84907967268
"Venkatesh, G., Ugarelli, R., Sægrov, S., Brattebø, H.","Dynamic metabolism modeling as a decision-support tool for urban water utilities applied to the upstream of the water system in Oslo, Norway",keep,"Inform decision making for water utilities. “The data encompass the different flows of water and wastewater, resource consumption (chemical, material and energy), operational and maintenance expenditures, capital costs …, energy generation..., water and wastewater quality parameters, sludge generation, sludge composition etc.”. Methods: sustainability indicators sulected, and compare over period under different scenarios and interventions.",2014,Procedia Engineering,89,,,1374,1381,,1,10.1016/j.proeng.2014.11.462,http://www.scopus.com/inward/record.url?eid=2-s2.0-84949114906&partnerID=40&md5=ac6447b9dd81bacc1c5870fdf173f45d,Conference Paper,Scopus,2-s2.0-84949114906
"Behzadian, K., Kapelan, Z., Venkatesh, G., Brattebø, H., Sægrov, S., Rozos, E., Makropoulos, C., Ugarelli, R., Milina, J., Hem, L.",Urban water system metabolism assessment using WaterMet2 model,keep,"“quantify the principal water flows and other main fluxes in the UWS”. Analyse alternative strategies for Oslo given rapid population growth (e.g. CO2, reliability of water supply). Just focuses on the 'metabolism' of the UWS",2014,Procedia Engineering,70,,,113,122,,2,10.1016/j.proeng.2014.02.014,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899679307&partnerID=40&md5=c0d159edf00aa92f69325e3571afc57c,Conference Paper,Scopus,2-s2.0-84899679307
"Blečić, I., Cecchini, A., Falk, M., Marras, S., Pyles, D.R., Spano, D., Trunfio, G.A.",Urban metabolism and climate change: A planning support system,keep,"“quantitative estimate of the so-called urban metabolism... modelling framwork for estmiating the carbon exchanges together with sensible and latent heat fluxes and air temreature in relation to alternative land-use scenarios.” Three components: Cellular Aotomate model simulates urban land-use dynamics, transporation model, Advanced Canopy-Atmosphere-Soil Algorithm and mesoscale weather forcasting model. To inform spatial planning and urban policy. “link urban planning decisions to the estimates of their impact on urban vluxes, and in particular on the CO2 emissionis in the atmosphere.” Can apply sensitivity analysis (urbanisation patterns, climate conditions)",2014,International Journal of Applied Earth Observation and Geoinformation,26,1,,447,457,,5,10.1016/j.jag.2013.08.006,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897104576&partnerID=40&md5=1bcf8fdd3de7be4d3fd284b221344d7a,Article,Scopus,2-s2.0-84897104576
"Song, T., Cai, J., Xu, H., Deng, Y., Niu, F., Yang, Z., Du, S.","Urban metabolism based on emergy and slack based model: A case study of Beijing, China",keep,"metabolic emergy account, quantifying “some important concepts of emergy stores.” Regression modelling to analyse “the urban metabolic development in Beijing from 2001 to 2010.” Slack-based efficiency measure based on DEA. “quantify the mechanism of a system” through LSR by “finding a line that summarized the relationships between variables”. Identifies the weight of contributing components to UM. Note correlations with metabolic efficiency (e.g. population density and per capita GDP). Leads to four recommended strategies.",2014,Chinese Geographical Science,25,1,,113,123,,,10.1007/s11769-014-0680-7,http://www.scopus.com/inward/record.url?eid=2-s2.0-84938484343&partnerID=40&md5=c910f1881a722c048b1184e37a90b40d,Article,Scopus,2-s2.0-84938484343
"Zhang, Y., Zheng, H., Fath, B.D.",Analysis of the energy metabolism of urban socioeconomic sectors and the associated carbon footprints: Model development and a case study for Beijing,keep,I/O and ENA to “develope a model of urban energy flows and also account for energy consumption embodied by the flows among indirectly linked sectors...”,2014,Energy Policy,73,,,540,551,,7,10.1016/j.enpol.2014.04.029,http://www.scopus.com/inward/record.url?eid=2-s2.0-84905282604&partnerID=40&md5=7876696b77ab6b7a060ceacf08871155,Article,Scopus,2-s2.0-84905282604
[No author name available],"8th International Conference on Urban Regeneration and Sustainability, SC 2013",cut,ignore,2014,WIT Transactions on Ecology and the Environment,179 VOLUME 1,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84940170348&partnerID=40&md5=cb60834f868b70d94f88beb5268fc68a,Conference Review,Scopus,2-s2.0-84940170348
[No author name available],"8th International Conference on Urban Regeneration and Sustainability, SC 2013",cut,ignore,2014,WIT Transactions on Ecology and the Environment,179 VOLUME 2,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84940169810&partnerID=40&md5=d26ce56372db017169af72e25a072328,Conference Review,Scopus,2-s2.0-84940169810
"Pincetl, S., Chester, M., Circella, G., Fraser, A., Mini, C., Murphy, S., Reyna, J., Sivaraman, D.",Enabling Future Sustainability Transitions: An Urban Metabolism Approach to Los Angeles Pincetl et al. Enabling Future Sustainability Transitions,keep,"overfiew of data sources amd methods to calculate LCA, flows etc. to “better target energy conservation and efficiency programs...” (etc.) “Linear regression models investigate the impact of socioeconmoic drivers of energy consumption...”. EIO-LCA for “regional specific assesment of environment outcomes from economic activities”. E.g. find predictors of electricity use (and thus GHG) from building age and household income; water use and income correlated; etc.",2014,Journal of Industrial Ecology,18,6,,871,882,,2,10.1111/jiec.12144,http://www.scopus.com/inward/record.url?eid=2-s2.0-84916599003&partnerID=40&md5=f4ca69e76246253138c6b51185c85f72,Article,Scopus,2-s2.0-84916599003
"Liang, H., Tanikawa, H., Matsuno, Y., Dong, L.",Modeling in-use steel stock in China's buildings and civil engineering infrastructure using time-series of DMSP/OLS nighttime lights,keep,“use of long-term nighttime lights as a proxy to effectively estimate in-use steel stock for buildings...and civil engineering infrastructure...at the provincial level in China” from observed relationships (which vary according to province and time) using “panel regression models”,2014,Remote Sensing,6,6,,4780,4800,,2,10.3390/rs6064780,http://www.scopus.com/inward/record.url?eid=2-s2.0-84901450012&partnerID=40&md5=4b3d7c2c4bcc5f89cafeeb0a9a1455ad,Article,Scopus,2-s2.0-84901450012
"Yang, Z., Zhang, Y., Li, S., Liu, H., Zheng, H., Zhang, J., Su, M., Liu, G.","Characterizing urban metabolic systems with an ecological hierarchy method, Beijing, China",keep,ENA. A focus on “internal production and consumption processes” rather than the “system's external characteristics”,2014,Landscape and Urban Planning,121,,,19,33,,2,10.1016/j.landurbplan.2013.09.004,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888045712&partnerID=40&md5=6952281003fafa1dbcc716f1753677fb,Article,Scopus,2-s2.0-84888045712
"Zhang, Y., Liu, H., Chen, B., Zheng, H., Li, Y.",Analysis of urban metabolic processes based on input-output method: Model development and a case study for Beijing,keep,More ENA and I-O for 32 compartments,2014,Frontiers of Earth Science,8,2,,190,201,,1,10.1007/s11707-014-0407-1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84900311023&partnerID=40&md5=ed56cdf4320d75f7d553fa2d6ace90dc,Article,Scopus,2-s2.0-84900311023
