Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"De Nicola, F., Murena, F., Costagliola, M.A., Alfani, A., Baldantoni, D., Prati, M.V., Sessa, L., Spagnuolo, V., Giordano, S.","A multi-approach monitoring of particulate matter, metals and PAHs in an urban street canyon",cut,Cut. Doesn't mention metabolism.,2013,Environmental Science and Pollution Research,20,7,,4969,4979,,13,10.1007/s11356-012-1456-1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879689957&partnerID=40&md5=c0974ea53bc7b170759cc1b99773356d,Article,Scopus,2-s2.0-84879689957
"Garcia, X.",Urban sprawl and domestic water consumption: An exploration of relations [Urbanització difusa i consum d'aigua per a usos domèstics. Una exploració de relacions],cut,Can't find. Not in English.,2013,Documents d'Analisi Geografica,59,2,,347,362,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878972658&partnerID=40&md5=8c9feb88d7f31a09d7a3861b910dd4d5,Article,Scopus,2-s2.0-84878972658
"Miller, S.A., Moysey, S., Sharp, B., Alfaro, J.",A Stochastic Approach to Model Dynamic Systems in Life Cycle Assessment,keep,"“Bayesian probabilities to model technology adoption...unique approach to modelling system eveolution and can be used independently or within the context of an agent-based model (ABM).” The couple with LCA, “analyzing the effect of decision-making patterns over time.” “Potential uses include examining the changing urban metabolism of growing cities...” E.g. Switchgrass Bioenergy. “a method to determine the effect of system emergence on LCA results. The established techniques can be used for any developing system where technology adoption occurs...”",2013,Journal of Industrial Ecology,17,3,,352,362,,6,10.1111/j.1530-9290.2012.00531.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878900780&partnerID=40&md5=61a5dd5560d0ef0317eaea3492583f91,Article,Scopus,2-s2.0-84878900780
"Beaulieu, J.J., Arango, C.P., Balz, D.A., Shuster, W.D.",Continuous monitoring reveals multiple controls on ecosystem metabolism in a suburban stream,cut,Cut,2013,Freshwater Biology,58,5,,918,937,,8,10.1111/fwb.12097,http://www.scopus.com/inward/record.url?eid=2-s2.0-84876329175&partnerID=40&md5=2bf74d0dc03c89155f2f1daa3c790cf1,Article,Scopus,2-s2.0-84876329175
"Borrett, S.R.",Throughflow centrality is a global indicator of the functional importance of species in ecosystems,cut,Cut (but maybe interesting from an ENA perspective?),2013,Ecological Indicators,32,,,182,196,,9,10.1016/j.ecolind.2013.03.014,http://www.scopus.com/inward/record.url?eid=2-s2.0-84876589702&partnerID=40&md5=d3f9d062c9178da50d45f11c0060a6d0,Article,Scopus,2-s2.0-84876589702
"Chrysoulakis, N., Lopes, M., San José, R., Grimmond, C.S.B., Jones, M.B., Magliulo, V., Klostermann, J.E.M., Synnefa, A., Mitraka, Z., Castro, E.A., González, A., Vogt, R., Vesala, T., Spano, D., Pigeon, G., Freer-Smith, P., Staszewski, T., Hodges, N., Mills, G., Cartalis, C.",Sustainable urban metabolism as a link between bio-physical sciences and urban planning: The BRIDGE project,keep,NOTES FOR THIS ELSEWHERE?,2013,Landscape and Urban Planning,112,1,,100,117,,16,10.1016/j.landurbplan.2012.12.005,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875275154&partnerID=40&md5=944381d04b41800e975069507374746f,Article,Scopus,2-s2.0-84875275154
"Xu, L., Yan, Z., Cui, S.",Path analysis of influencing factors on municipal solid waste generation: A case study of Xiamen City,keep,"“study of the factors influencing household solid waste (HSW) generation...for exploring the generation mechanism and forecasting future dynamics...” (e.g. demographic/socioeconomic). Fir a “porposed path model” (e.g. family size, dining-at-home rate). Statistical: stratified random sampling, survey representative, correlation analysis (e.g. nonlinearities), path analysis - “a statistical technique used to examine the comparative strength of direct and indirect relationships among variables within a hypothesized model...” (an extension of multiple regression)",2013,Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,33,4,,1180,1185,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84877046802&partnerID=40&md5=62ea565f63c51e653427356a4646220a,Article,Scopus,2-s2.0-84877046802
"Brook, R.D., Xu, X., Bard, R.L., Dvonch, J.T., Morishita, M., Kaciroti, N., Sun, Q., Harkema, J., Rajagopalan, S.",Reduced metabolic insulin sensitivity following sub-acute exposures to low levels of ambient fine particulate matter air pollution,cut,cut,2013,Science of the Total Environment,448,,,66,71,,25,10.1016/j.scitotenv.2012.07.034,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875259835&partnerID=40&md5=a1c4aa9f1f15805e8aae76e909bdb985,Article,Scopus,2-s2.0-84875259835
"Rozos, E., Makropoulos, C.",Source to tap urban water cycle modelling,keep,"To test strategies for external water supply system and demand management. New version of UWOT model. Models water as a signal, from appliance to source. BOD also modelled. Technology library from which to select “combinations of specific technological options”. Use the “parameterisation-simulation-optimistion” (PSO) approach for the external supply system. E.g. Athens: multi-reservoir system. Use time-series as inputs (exernal and internal). Metabolism model: “the relationship between the environment and an urban system can be described by systematically recording all flows to and from the environment.”",2013,Environmental Modelling and Software,41,,,139,150,,16,10.1016/j.envsoft.2012.11.015,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872032376&partnerID=40&md5=9623756ac264f8cc334c856cbd4e097a,Article,Scopus,2-s2.0-84872032376
"Kellett, R., Christen, A., Coops, N.C., van der Laan, M., Crawford, B., Tooke, T.R., Olchovski, I.",A systems approach to carbon cycling and emissions modeling at an urban neighborhood scale,keep,"Bottom-up modelling of contribution from buildings, transport, humans, vegetation and soils. Plan startegies to achieve per capital emission reductions target. (I've written on this paper in more detail in the technology review paper.)",2013,Landscape and Urban Planning,110,1,,48,58,,12,10.1016/j.landurbplan.2012.10.002,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871760886&partnerID=40&md5=78f56e709c523d7f820fbc2557ae3784,Article,Scopus,2-s2.0-84871760886
"Bristow, D.N., Kennedy, C.A.",The energy for growing and maintaining cities,keep,Nonlinear model (HK and Singapore) to fit a relationship between energy-growth-maintenance. Implications for how GDP and energy use will grow. Nonlinear regression for parameter estimates.,2013,Ambio,42,1,,41,51,,1,10.1007/s13280-012-0350-x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872719929&partnerID=40&md5=19c6cde58a95ac0322d4ddff9e6327da,Article,Scopus,2-s2.0-84872719929
"Kathijotes, N., Papatheodoulou, A.",Integrated Coastal Zone Management - Preview and Evaluation of its Application on the Coast of Cyprus,cut,cut,2013,Global Challenges in Integrated Coastal Zone Management,,,,169,178,,,10.1002/9781118496480.ch13,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889492468&partnerID=40&md5=e883fdd450d14e465dcc78fa4ac5b3ac,Book Chapter,Scopus,2-s2.0-84889492468
"José, R.S., Pérez, J.L., González, R.M.",Using WRF/UCM and CMAQ mesoscale models with very high resolution over european urban cities,keep,"Air quality modelling at high-res, to evaluate alterantives to urban planning.",2013,Fresenius Environmental Bulletin,22,12 C,,3815,3822,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896507862&partnerID=40&md5=1f5819d9ff594b51340e3fdd53cd5182,Conference Paper,Scopus,2-s2.0-84896507862
"Zhang, Y., Liu, H., Chen, B.",Comprehensive evaluation of the structural characteristics of an urban metabolic system: Model development and a case study of Beijing,keep,"Represent “inner structural characteristics” of Beijing with four indicators, use MFA to quantify transfers between the components and environment. To identify “key metabolic actors responsible for urban metabolis disorders”. Based on a “model for the analysis of an urban metabolic system based on th roles played by different metabolic actors” [e.g. manufacturing, dom., reuse/recycling, etc.]",2013,Ecological Modelling,252,1,,106,113,,8,10.1016/j.ecolmodel.2012.08.017,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897466836&partnerID=40&md5=929e28ccc7ef29c8ad01c04b467cd25d,Article,Scopus,2-s2.0-84897466836
"Walker, R.V., Beck, M.B.","Innovation, multi-utility service businesses and sustainable cities: Where might be the next breakthrough?",keep,"Based on substance flow analysis (accounting flows), a model explores/manages cross-sectoral impacts (synergies and antogonisms) from tech. and policy interventions (e.g. pyrolysis of sewage sludge). (I) identify strategies and techs; (ii) which ones are privilaged (i.e. cros-sectoral coals), (iii) which affect water-food-energy-climate security?; (iv) does municipal governance favour MUSCOs? A procedure-based model?",2012,Water Practice and Technology,7,4,,,,,,10.2166/wpt.2012.084,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871034442&partnerID=40&md5=a2d37ae2d7911cf491eff1881c6469fb,Article,Scopus,2-s2.0-84871034442
[No author name available],"2012 Global Conference on Civil, Structural and Environmental Engineering, GCCSEE 2012 and the 3rd International Symposium on Multi-field Coupling Theory of Rock and Soil Media and Its Applications, MCTRSM 2012",cut,cut,2012,Advanced Materials Research,599,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871094410&partnerID=40&md5=46c8571c8ed7d2be0f1d6eb42d23ff44,Conference Review,Scopus,2-s2.0-84871094410
[No author name available],"2012 Global Conference on Civil, Structural and Environmental Engineering, GCCSEE 2012 and the 3rd International Symposium on Multi-field Coupling Theory of Rock and Soil Media and Its Applications, MCTRSM 2012",cut,cut,2012,Advanced Materials Research,598,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871016839&partnerID=40&md5=b751e946acd7b8c85c3b26a89e5b69e8,Conference Review,Scopus,2-s2.0-84871016839
"Keirstead, J., Sivakumar, A.",Using Activity-Based Modeling to Simulate Urban Resource Demands at High Spatial and Temporal Resolutions,keep,"Activity-based modelling. Relate activity schedules to resource demands (to plug the gap for high-resolution demand data), e.g. elec and nat gas. Either “process-based model of resource demands” or data-driven regressions to “explain the observed annual average demands … as a function of the simulated activity patterns … “ Paper takes the second (more limited approach, e.g. no temporal variations in resource demand)",2012,Journal of Industrial Ecology,16,6,,889,900,,12,10.1111/j.1530-9290.2012.00486.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871168392&partnerID=40&md5=637188541c021ad1238845f684d9d801,Article,Scopus,2-s2.0-84871168392
"Baynes, T.M., Bai, X.","Reconstructing the Energy History of a City: Melbourne's Population, Urban Development, Energy Supply and Use from 1973 to 2005",keep,Reconstruct a time-series for operational energy demand from original sources. Relate upstream consupmtion to “to sectors based on their direct secondary energy usage”. Can inform the “energy future of Melbourne”. More 'analysis'?,2012,Journal of Industrial Ecology,16,6,,862,874,,4,10.1111/j.1530-9290.2012.00567.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871109352&partnerID=40&md5=ff82f13e8b40776c9ca8fbf46eb49da5,Article,Scopus,2-s2.0-84871109352
"Ramaswami, A., Weible, C., Main, D., Heikkila, T., Siddiki, S., Duvall, A., Pattison, A., Bernard, M.",A Social-Ecological-Infrastructural Systems Framework for Interdisciplinary Study of Sustainable City Systems: An Integrative Curriculum Across Seven Major Disciplines,keep,A study-framework (rather than a model),2012,Journal of Industrial Ecology,16,6,,801,813,,14,10.1111/j.1530-9290.2012.00566.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84859304464&partnerID=40&md5=56d3f7b190e2714d407576e412797b5b,Article,Scopus,2-s2.0-84859304464
"Brewster, R.J.",Significance of global oil depletion to urban residential development,keep,"How oil depletion will constrain urban development, society will transform to “sustainable city forms”. Proposes to model “the role of oil in the urban ecology” (fig 3). Can be inferred from energy, materials etc.",2012,WIT Transactions on Ecology and the Environment,167,,,151,164,,,10.2495/ST110141,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880178973&partnerID=40&md5=b571acbfcff7ee31f6974bdaee1f9678,Conference Paper,Scopus,2-s2.0-84880178973
"Susca, T.","Multiscale Approach to Life Cycle Assessment: Evaluation of the Effect of an Increase in New York City's Rooftop Albedo on Human Health Susca, LCA: Rooftop Albedo and Human Health",keep,Relate rooftoop albedo to climate change and human health impacts. E.g. mortality related to deaths.,2012,Journal of Industrial Ecology,16,6,,951,962,,4,10.1111/j.1530-9290.2012.00560.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871120798&partnerID=40&md5=f2a360bce194606ca797e36e0c98a7a6,Article,Scopus,2-s2.0-84871120798
"Liu, J., Liu, R., Yao, L.",Definition and research progress of sustainable consumption: From industrial ecology view,cut,Can't access full paper.,2012,Shengtai Xuebao/ Acta Ecologica Sinica,32,20,,6553,6557,,1,10.5846/stxb201203170361,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868336045&partnerID=40&md5=41731a0df32058ca368253904d45ece7,Article,Scopus,2-s2.0-84868336045
"Qu, L., Zhang, T., Liang, S.",Sustainable urban solid waste management from both life cycle and urban metabolism perspectives,cut,Cut. Analysis rather than modelling.,2012,"Proceedings - 2012 3rd International Conference on Digital Manufacturing and Automation, ICDMA 2012",,,6298654,872,875,,1,10.1109/ICDMA.2012.205,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868227303&partnerID=40&md5=aa86085d2ae5351b16eee26710ce6cef,Conference Paper,Scopus,2-s2.0-84868227303
"Golubiewski, N.",Is there a metabolism of an urban ecosystem? An ecological critique,keep,Theory/concept,2012,Ambio,41,7,,751,764,,17,10.1007/s13280-011-0232-7,http://www.scopus.com/inward/record.url?eid=2-s2.0-84866179476&partnerID=40&md5=a9aad567dfc9595ede1c1b31bcd64659,Review,Scopus,2-s2.0-84866179476
"Vanos, J.K., Warland, J.S., Gillespie, T.J., Slater, G.A., Brown, R.D., Kenny, N.A.",Human energy budget modeling in urban parks in toronto and applications to emergency heat stress preparedness,cut,Cut. Human metabolic activity. (Still interesting though!),2012,Journal of Applied Meteorology and Climatology,51,9,,1639,1653,,17,10.1175/JAMC-D-11-0245.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868094869&partnerID=40&md5=e58b68e50087eaf91adb677601bfa0cd,Article,Scopus,2-s2.0-84868094869
"Bartolomé, L., Etxebarria, N., Alonso, M., Navarro, P., Ortiz-Zarragoitia, M.","A chemical and biological approach to phthalates contamination in two estuaries from the basque coast (Bay of Biscay): Levels, distribution and biomarker responses",cut,Cut,2012,"Phthalates: Chemical Properties, Impacts on Health and the Environment",,,,61,86,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891980277&partnerID=40&md5=7dd5c2e8dec955faca741f2e2215ac93,Book Chapter,Scopus,2-s2.0-84891980277
"Li, X., Hua, L.",Landscape aesthetic assessment based on experiential paradigm assessment technology,cut,Cut. Not English.,2012,Shengtai Xuebao/ Acta Ecologica Sinica,32,10,,2965,2974,,2,10.5846/stxb201104250542,http://www.scopus.com/inward/record.url?eid=2-s2.0-84864321118&partnerID=40&md5=4ff9d48e5f9403718b3ce1e170b1cea2,Article,Scopus,2-s2.0-84864321118
"Shi, X., Yang, J., Wang, R., Zhao, L.",An approach for analyzing resources metabolism of industrial ecosystems,keep,Dynamic model relating settlement transformation to urban meatbolic efficiency.,2012,Shengtai Xuebao/ Acta Ecologica Sinica,32,7,,2012,2024,,1,10.5846/stxb201104180505,http://www.scopus.com/inward/record.url?eid=2-s2.0-84864220158&partnerID=40&md5=9eaded44f6e070f91db67f43cb8dadd6,Article,Scopus,2-s2.0-84864220158
"Nathan, H.S.K., Sudhakara Reddy, B.",Towards a conceptual framework for development of sustainable development indicators for an urban setup,maybe,Analysis (rather than model)?,2012,International Journal of Sustainable Development,15,3,,187,205,,3,10.1504/12.47753,http://www.scopus.com/inward/record.url?eid=2-s2.0-84863927228&partnerID=40&md5=e131c1d246ae4ff60312dd6c35bdcd13,Article,Scopus,2-s2.0-84863927228
"Burn, S., Maheepala, S., Sharma, A.",Utilising integrated urban water management to assess the viability of decentralised water solutions,maybe,"Looks like it uses a model, but I can't access full paper. Will asses various decentralized interventions considering flow, nutrient, energy, emissions, etc.",2012,Water Science and Technology,66,1,,113,121,,7,10.2166/wst.2012.071,http://www.scopus.com/inward/record.url?eid=2-s2.0-84862625181&partnerID=40&md5=ddf4cf0cb596171b79dff3bff42cf7ef,Review,Scopus,2-s2.0-84862625181
"Liang, S., Zhang, T., Wang, Y., Jia, X.",Sustainable urban materials management for air pollutants mitigation based on urban physical input-output model,keep,Physical I-O tables [capture transactions between sectors] to identify “key economic sectros for sustainable urban materials management...to mitigate air pollutants” (to apply mitigation strategies). ,2012,Energy,42,1,,387,392,,11,10.1016/j.energy.2012.03.038,http://www.scopus.com/inward/record.url?eid=2-s2.0-84860838185&partnerID=40&md5=6d42fcb05f3ff241b66bc9a404eb1e73,Article,Scopus,2-s2.0-84860838185
"Tello, E., Ostos, J.R.",Water consumption in Barcelona and its regional environmental imprint: A long-term history (1717-2008),keep,"Historical trends, structurally decomposed, using IPAT model to identify driving forces behind long-term evolution of water consumption (popultion, income, water intensity of the economy). Possibly more analysis that ",2012,Regional Environmental Change,12,2,,347,361,,7,10.1007/s10113-011-0223-z,http://www.scopus.com/inward/record.url?eid=2-s2.0-84861571803&partnerID=40&md5=b3f3a3b8e9007f0131b8307492fa32f0,Article,Scopus,2-s2.0-84861571803
"Raciti, S.M., Hutyra, L.R., Rao, P., Finzi, A.C.","Inconsistent definitions of ""urban"" result in different conclusions about the size of urban carbon and nitrogen stocks",cut,cut. Interesting but irrelevant!,2012,Ecological Applications,22,3,,1015,1035,,27,10.1890/11-1250.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84860252016&partnerID=40&md5=e310d3975acb9b2d7336972b34cbcb27,Article,Scopus,2-s2.0-84860252016
"Uemura, A., Mexitalia, M., Susanto, J.C., Yamauchi, T.",Validating predictive factors for resting energy expenditure of adolescents in Indonesia,cut,cut,2012,International Journal of Food Sciences and Nutrition,63,2,,145,152,,,10.3109/09637486.2011.607800,http://www.scopus.com/inward/record.url?eid=2-s2.0-84856480065&partnerID=40&md5=5b8e2c8ecead7b65cd42e8aab3df2c39,Article,Scopus,2-s2.0-84856480065
"Vanos, J.K., Warland, J.S., Gillespie, T.J., Kenny, N.A.",Improved predictive ability of climate-human-behaviour interactions with modifications to the COMFA outdoor energy budget model,cut,cut,2012,International Journal of Biometeorology,56,6,,1065,1074,,4,10.1007/s00484-012-0522-1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84867563632&partnerID=40&md5=c3dfbdac1c3cb9ff3bd2f1b19d4d88d0,Article,Scopus,2-s2.0-84867563632
"Liang, S., Zhang, T.",Comparing urban solid waste recycling from the viewpoint of urban metabolism based on physical input-output model: A case of Suzhou in China,keep,"Use I/O model to predict urban met of Suzhou, 2015, and “impacts of four categories of solid waste recycling” under scenario analysis.",2012,Waste Management,32,1,,220,225,,20,10.1016/j.wasman.2011.08.018,http://www.scopus.com/inward/record.url?eid=2-s2.0-80055121823&partnerID=40&md5=d0e3a3447469d1ba5526b3e56168ae9b,Article,Scopus,2-s2.0-80055121823
"Robinson, D.","Computer modelling for sustainable urban design: Physical principles, methods and applications",keep,Book. RETURN,2012,"Computer Modelling for Sustainable Urban Design: Physical Principles, Methods and Applications",,,,1,302,,,10.4324/9781849775403,http://www.scopus.com/inward/record.url?eid=2-s2.0-84925803435&partnerID=40&md5=4c7e2458800439155466e9b7a8d01455,Book,Scopus,2-s2.0-84925803435
"Quah, A.K.L., Roth, M.","Diurnal and weekly variation of anthropogenic heat emissions in a tropical city, Singapore",cut,Cut. (Analysis),2012,Atmospheric Environment,46,,,92,103,,20,10.1016/j.atmosenv.2011.10.015,http://www.scopus.com/inward/record.url?eid=2-s2.0-82955195773&partnerID=40&md5=316b265dc88f3134d722e6ab5e32c965,Article,Scopus,2-s2.0-82955195773
"Manes, F., Incerti, G., Salvatori, E., Vitale, M., Ricotta, C., Costanza, R.",Urban ecosystem services: Tree diversity and stability of tropospheric ozone removal,keep,Interesting. But no mention of metabolism.,2012,Ecological Applications,22,1,,349,360,,27,10.1890/11-0561.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84858627326&partnerID=40&md5=e177b8c840be2cdadc29e1b148a6b877,Article,Scopus,2-s2.0-84858627326
"Lazar, G., Ureche, D., Ifrim, I.L., Stamate, M., Ureche, C., Nedeff, V., Nistor, I.D., Finaru, A.L., Lazar, I.M.",Effects of the environmental stress on two fish populations revealed by statistical and spectral analysis,cut,Cut,2012,Environmental Engineering and Management Journal,11,1,,109,124,,6,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84858676650&partnerID=40&md5=60a16fc8e3d3665ac725802b917d3ee3,Article,Scopus,2-s2.0-84858676650
"Rosales, N.",Towards the modeling of sustainability into urban planning: Using indicators to build sustainable cities,cut,On indicators. Seems to use the word 'model' loosely.,2011,Procedia Engineering,21,,,641,647,,10,10.1016/j.proeng.2011.11.2060,http://www.scopus.com/inward/record.url?eid=2-s2.0-84255192234&partnerID=40&md5=97171c4a90db7fd8d75cc4cc17701dac,Conference Paper,Scopus,2-s2.0-84255192234
"Zhang, Y., Li, S., Fath, B.D., Yang, Z., Yang, N.",Analysis of an urban energy metabolic system: Comparison of simple and complex model results,keep,Comparising ecological network models with different numbers of sectors.,2011,Ecological Modelling,223,1,,14,19,,18,10.1016/j.ecolmodel.2011.08.005,http://www.scopus.com/inward/record.url?eid=2-s2.0-82955247598&partnerID=40&md5=7a395d85dd11c439654014a3c7b7c9aa,Article,Scopus,2-s2.0-82955247598
"Borrego, C., Cascão, P., Lopes, M., Amorim, J.H., Tavares, R., Rodrigues, V., Martins, J., Miranda, A.I., Chrysoulakis, N.",Impact of urban planning alternatives on air quality: URBAIR model application,keep,"Part of BRIDGE. Air quality according to different urban planning alternatives. E.g. “simulate the effect of buildings geometry on air pollutants dispersion...” Inputs: topography, roads etc.; traffic flux etc; meteorological. Outputs: “emission and concentration fields”",2011,WIT Transactions on Ecology and the Environment,147,,,13,24,,3,10.2495/AIR110021,http://www.scopus.com/inward/record.url?eid=2-s2.0-84866035950&partnerID=40&md5=b78c163a935d7873b0846da6cdd63958,Conference Paper,Scopus,2-s2.0-84866035950
"Liu, G., Yang, Z., Chen, B.",Four angle model for the urban metabolism integrated analysis,keep,Population variables correlated to flow variables (emergy or GDP). CONFUSING!!,2011,Procedia Environmental Sciences,5,,,81,86,,1,10.1016/j.proenv.2011.03.052,http://www.scopus.com/inward/record.url?eid=2-s2.0-84863167470&partnerID=40&md5=fe7864495b3c4dc9337f43304eb4f20b,Conference Paper,Scopus,2-s2.0-84863167470
"Elvidge, C.D., Sutton, P.C., Baugh, K.E., Anderson, S., Ghosh, T., Ziskin, D.",Satelite observation of urban metabolism in China,keep,"“nighttime lights have a linear relationships to population, gross domestic producs, total primary energy consumption, and fossil fuel CO2 emissoins.” So could be extended to energy and material flows.",2011,"32nd Asian Conference on Remote Sensing 2011, ACRS 2011",1,,,513,517,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84865693983&partnerID=40&md5=46c09438b42278000eea256004673804,Conference Paper,Scopus,2-s2.0-84865693983
"Liu, G., Yang, Z., Chen, B.",Comparison of different urban development strategy options to the urban metabolism optimal path,maybe,Confusing. Relating variables and applying sensitivity analysis?,2011,Procedia Environmental Sciences,5,,,178,183,,4,10.1016/j.proenv.2011.03.065,http://www.scopus.com/inward/record.url?eid=2-s2.0-84863160214&partnerID=40&md5=0f963247005158831df3bca34fae72dd,Conference Paper,Scopus,2-s2.0-84863160214
"Pandis Iverot, S., Brandt, N.","The development of a sustainable urban district in Hammarby Sjöstad, Stockholm, Sweden?",cut,"A 'concept' of closing loops (e.g. discrict heating, heat from wastewater etc.). Not a 'model' in the sense of the word I'm thinking of.",2011,"Environment, Development and Sustainability",13,6,,1043,1064,,10,10.1007/s10668-011-9304-x,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054034692&partnerID=40&md5=fd14434bc0d7464ee5bf941cbe9a531a,Review,Scopus,2-s2.0-80054034692
"Ramaswami, A.",Trans-boundary carbon emission footprints for cities and an interdisciplinary framework for sustainable urban infrastructure systems,maybe,Can't access. Possibly relevant,2011,"11AIChE - 2011 AIChE Annual Meeting, Conference Proceedings",,,,,,1,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84857200375&partnerID=40&md5=b0149319c355b2356043725caef078ca,Conference Paper,Scopus,2-s2.0-84857200375
"Kenway, S.J., Lant, P., Priestley, T.",Quantifying water-energy links and related carbon emissions in cities,maybe,Conceptual model. Can't access whole article.,2011,Journal of Water and Climate Change,2,4,,247,259,,13,10.2166/wcc.2011.005,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871060950&partnerID=40&md5=fbd0ce392d9cf9f2c3d54bbc1afb1317,Article,Scopus,2-s2.0-84871060950
[No author name available],"Integration Through Computation - Proceedings of the 31st Annual Conference of the Association for Computer Aided Design in Architecture, ACADIA 2011",cut,cut,2011,"Integration Through Computation - Proceedings of the 31st Annual Conference of the Association for Computer Aided Design in Architecture, ACADIA 2011",,,,,,394,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84860733389&partnerID=40&md5=56ea9cd2be92aec6662c153e3a935dd3,Conference Review,Scopus,2-s2.0-84860733389
"Liang, S., Zhang, T.",Data acquisition for applying physical input-output tables in Chinese cities: The case of Suzhou,keep,Related to I/O models,2011,Journal of Industrial Ecology,15,6,,825,835,,10,10.1111/j.1530-9290.2011.00372.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-80055106980&partnerID=40&md5=764131b46ea0d297e4b629d11f2c8676,Article,Scopus,2-s2.0-80055106980
"Allen, L., Lindberg, F., Grimmond, C.S.B.",Global to city scale urban anthropogenic heat flux: Model and variability,keep,"Relates anthropogenic heat flux to working patterns, public holidays, vehicle use, and energy consumption (by country). Modeled for a gird, by “partitioning of the sources” according to activity. Data inputted into a key equation. Can be applied globally, enabling comparisons, which consider (e.g.) public holidays according to country. Can be scaled from global to city level.",2011,International Journal of Climatology,31,13,,1990,2005,,35,10.1002/joc.2210,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951636483&partnerID=40&md5=5153421ab33c163f0fc5a5e0397840ae,Article,Scopus,2-s2.0-79951636483
"Ruiz, J., Álvarez, P., Arbib, Z., Garrido, C., Barragán, J., Perales, J.A.",Effect of nitrogen and phosphorus concentration on their removal kinetic in treated urban wastewater by Chlorella vulgaris,cut,Cut. Low-level wastewater experimental study.,2011,International Journal of Phytoremediation,13,9,,884,896,,25,10.1080/15226514.2011.573823,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960362719&partnerID=40&md5=72691faa8b2b9747609d7e7763e76d34,Article,Scopus,2-s2.0-79960362719
"Geng, Y., Liu, Y., Liu, D., Zhao, H., Xue, B.",Regional societal and ecosystem metabolism analysis in China: A multi-scale integrated analysis of societal metabolism(MSIASM) approach,keep,"Analysis and indicators. And “a complete decomposition model to futher identify key factors for regional sustainable development.” (To inform development strategies.) “According to this model, the value of EMR is influenced by two factors, namely, resource and technology aggregation, and sector structure...”",2011,Energy,36,8,,4799,4808,,10,10.1016/j.energy.2011.05.014,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961027252&partnerID=40&md5=0910abd34efd8181a1b40f6bd1dae0be,Article,Scopus,2-s2.0-79961027252
"Yuan, Z., Shi, J., Wu, H., Zhang, L., Bi, J.",Understanding the anthropogenic phosphorus pathway with substance flow analysis at the city level,keep,"“quantifying the pathway of phosphorus throuhgout the soecioeconomic system”. Model a city as “five majour subsystems” (e.g. human consumption, waste management). Quantify “total input and output of phosphorus in Chaohu City over 2008...”, estimate discharge into “local surface water” etc.",2011,Journal of Environmental Management,92,8,,2021,2028,,22,10.1016/j.jenvman.2011.03.025,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956023733&partnerID=40&md5=e0206996a8688de43dde2d96efbc02b5,Article,Scopus,2-s2.0-79956023733
"Byron, E.R., Ohlendorf, H.M., Redman, A., Adams, W.J., Marden, B., Grosell, M., Brooks, M.L.",Predictive modeling of selenium accumulation in brine shrimp in saline environments,cut,cut,2011,Integrated Environmental Assessment and Management,7,3,,478,482,,1,10.1002/ieam.179,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052313375&partnerID=40&md5=9c95921ae071fc9c76dd9c378d3f61b4,Note,Scopus,2-s2.0-80052313375
