"Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Descoins, N., Deleris, S., Lestienne, R., Trouvé, E., Maréchal, F.","Energy efficiency in waste water treatments plants: Optimization of activated sludge process coupled with anaerobic digestion",2012,"Energy",41,1,,153,164,,12,"10.1016/j.energy.2011.03.078","http://www.scopus.com/inward/record.url?eid=2-s2.0-84860011022&partnerID=40&md5=ff9ed702a32833873dc52f523d485a53","Article","Scopus","2-s2.0-84860011022"
"Dubreuil, A., Assoumou, E., Bouckaert, S., Selosse, S., Maïzi, N.","Water modeling in an energy optimization framework - The water-scarce middle east context",2013,"Applied Energy",101,,,268,279,,16,"10.1016/j.apenergy.2012.06.032","http://www.scopus.com/inward/record.url?eid=2-s2.0-84869865015&partnerID=40&md5=5942aebbd5d95370bbbc736f1b697d2c","Article","Scopus","2-s2.0-84869865015"
"De Gussem, K., Wambecq, T., Roels, J., Fenu, A., De Gueldre, G., Van De Steene, B.","Cost optimisation and minimisation of the environmental impact through life cycle analysis of the waste water treatment plant of Bree (Belgium)",2011,"Water Science and Technology",63,1,,164,170,,6,"10.2166/wst.2011.027","http://www.scopus.com/inward/record.url?eid=2-s2.0-79251491036&partnerID=40&md5=cdb5b69063ca5a8b1e71e16d8ecacbbb","Article","Scopus","2-s2.0-79251491036"
"Zsigraiová, Z., Tavares, G., Semiao, V., Carvalho, M.G.","Integrated waste-to-energy conversion and waste transportation within island communities",2009,"Energy",34,5,,623,635,,15,"10.1016/j.energy.2008.10.015","http://www.scopus.com/inward/record.url?eid=2-s2.0-65549127341&partnerID=40&md5=f791713cbd3e4476e302c3d7552913a3","Article","Scopus","2-s2.0-65549127341"
"Kwak, D.-H., Binns, M., Kim, J.-K.","Integrated design and optimization of technologies for utilizing low grade heat in process industries",2014,"Applied Energy",131,,,307,322,,7,"10.1016/j.apenergy.2014.06.037","http://www.scopus.com/inward/record.url?eid=2-s2.0-84904128819&partnerID=40&md5=24ed6f92cb977ea2eda8630ddcef0432","Article","Scopus","2-s2.0-84904128819"
"Niziolek, A.M., Onel, O., Hasan, M.M.F., Floudas, C.A.","Municipal solid waste to liquid transportation fuels - Part II: Process synthesis and global optimization strategies",2015,"Computers and Chemical Engineering",74,,,184,203,,2,"10.1016/j.compchemeng.2014.10.007","http://www.scopus.com/inward/record.url?eid=2-s2.0-84922571216&partnerID=40&md5=2fea98d82e65100886852ef5d3e6b872","Article","Scopus","2-s2.0-84922571216"
"Gardoni, D., Catenacci, A., Antonelli, M.","Reuse of process water in a waste-to-energy plant: An Italian case of study",2015,"Waste Management",43,,,196,202,,,"10.1016/j.wasman.2015.05.004","http://www.scopus.com/inward/record.url?eid=2-s2.0-84938747171&partnerID=40&md5=088f37c34f6497410e13edb5b37e15bc","Article","Scopus","2-s2.0-84938747171"
"Xiong, B., Chen, L., Meng, F., Sun, F.","Modeling and performance analysis of a two-stage thermoelectric energy harvesting system from blast furnace slag water waste heat",2014,"Energy",77,,,562,569,,3,"10.1016/j.energy.2014.09.037","http://www.scopus.com/inward/record.url?eid=2-s2.0-84909583611&partnerID=40&md5=7cd433976f08e888c359665331eca5fa","Article","Scopus","2-s2.0-84909583611"
"Wang, J., Yan, Z., Wang, M., Dai, Y.","Thermodynamic analysis and optimization of an ammonia-water power system with LNG (liquefied natural gas) as its heat sink",2013,"Energy",50,1,,513,522,,23,"10.1016/j.energy.2012.11.034","http://www.scopus.com/inward/record.url?eid=2-s2.0-84873173924&partnerID=40&md5=650b5e96b222f60dbf68cb3edcccf500","Article","Scopus","2-s2.0-84873173924"
"Béraud, B., Steyer, J.P., Lemoine, C., Latrille, E., Manic, G., Printemps-Vacquier, C.","Towards a global multi objective optimization of wastewater treatment plant based on modeling and genetic algorithms",2007,"Water Science and Technology",56,9,,109,116,,10,"10.2166/wst.2007.592","http://www.scopus.com/inward/record.url?eid=2-s2.0-37349000574&partnerID=40&md5=539eca8b2968269b5ae5347b6d196ccb","Article","Scopus","2-s2.0-37349000574"
"Barigozzi, G., Perdichizzi, A., Ravelli, S.","Performance prediction and optimization of a waste-to-energy cogeneration plant with combined wet and dry cooling system",2014,"Applied Energy",115,,,65,74,,4,"10.1016/j.apenergy.2013.11.024","http://www.scopus.com/inward/record.url?eid=2-s2.0-84888410185&partnerID=40&md5=34c68b4243e242d463dc712ae8163083","Article","Scopus","2-s2.0-84888410185"
"Wambecq, T., Fenu, A., De Gussem, K., Parmentier, G., De Gueldre, G., Van De Steene, B.","The impact of horizontal water velocity on the energy consumption of a full-scale wastewater treatment plant",2013,"Water and Environment Journal",27,2,,247,252,,1,"10.1111/j.1747-6593.2012.00362.x","http://www.scopus.com/inward/record.url?eid=2-s2.0-84878158309&partnerID=40&md5=acf9155ce3f3485b2870969191f1fa06","Article","Scopus","2-s2.0-84878158309"
"Sundberg, Johan, Wene, Clas-Otto","Integrated modelling of material flows and energy systems (mimes)",1994,"International Journal of Energy Research",18,3,,359,381,,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028406178&partnerID=40&md5=0d1e6b203ec7c35fea55a54f41e16121","Article","Scopus","2-s2.0-0028406178"
"Yari, M., Zare, V., Mahmoudi, S.M.S.","Parametric study and optimization of an ejector-expansion TRCC cycle integrated with a water purification system",2013,"Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy",227,3,,383,398,,2,"10.1177/0957650912468528","http://www.scopus.com/inward/record.url?eid=2-s2.0-84884583785&partnerID=40&md5=89a412557268a3b4fd82e3c95e0cbbbd","Article","Scopus","2-s2.0-84884583785"
"Grágeda, M., González, A., Alavia, W., Ushak, S.","Development and optimization of a modified process for producing the battery grade LiOH: Optimization of energy and water consumption",2015,"Energy",89,,7783,667,677,,,"10.1016/j.energy.2015.06.025","http://www.scopus.com/inward/record.url?eid=2-s2.0-84941875195&partnerID=40&md5=72b590bfa7e991b360bef8a1b3664613","Article","Scopus","2-s2.0-84941875195"
"Kleme, J.J., Varbanov, P.S., Pierucci, S.","Process integration for energy and water saving, increasing efficiency and reducing environmental impact",2010,"Applied Thermal Engineering",30,16,,2265,2269,,18,"10.1016/j.applthermaleng.2010.07.025","http://www.scopus.com/inward/record.url?eid=2-s2.0-77956232046&partnerID=40&md5=90596779fd1feccf065a128716da93ea","Article","Scopus","2-s2.0-77956232046"
"Kerzmann, T., Schaefer, L.","Flow rate optimization of a linear concentrating photovoltaic system",2013,"Journal of Solar Energy Engineering, Transactions of the ASME",135,2,21010,,,,1,"10.1115/1.4023006","http://www.scopus.com/inward/record.url?eid=2-s2.0-84872119849&partnerID=40&md5=763cf4ea561212298af16b9be00bf263","Article","Scopus","2-s2.0-84872119849"
"Bozzi, A., Yuranova, T., Lais, P., Kiwi, J.","Degradation of industrial waste waters on Fe/C-fabrics. Optimization of the solution parameters during reactor operation",2005,"Water Research",39,8,,1441,1450,,13,"10.1016/j.watres.2004.11.038","http://www.scopus.com/inward/record.url?eid=2-s2.0-18144379907&partnerID=40&md5=a9b9828d218621058ad931c5524173b2","Article","Scopus","2-s2.0-18144379907"
"Pulai, J., Kárpáti, Á.","Activated sludge technologies in waste water treatment and the development of the respective process control methods | Eleveniszapos Szennyvíztisztítási Technológiák És Szabályozás Igényük Fejlodése",2002,"Vizugyi Kozlemenyek",,1,,142,153,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036449520&partnerID=40&md5=d3f951545590ae0bb26aac55bb47aa60","Article","Scopus","2-s2.0-0036449520"
"Hu, J., Xiao, Z., Zhou, R., Deng, W., Wang, M., Ma, S.","Ecological utilization of leather tannery waste with circular economy model",2011,"Journal of Cleaner Production",19,"2-3",,221,228,,24,"10.1016/j.jclepro.2010.09.018","http://www.scopus.com/inward/record.url?eid=2-s2.0-78649334235&partnerID=40&md5=1143a1763d1056358623855ec05e529f","Article","Scopus","2-s2.0-78649334235"
"Coskun, T., Ïlhan, F., Demir, N.M., Debik, E., Kurt, U.","Optimization of energy costs in the pretreatment of olive mill wastewaters by electrocoagulation",2012,"Environmental Technology (United Kingdom)",33,7,,801,807,,8,"10.1080/09593330.2011.595829","http://www.scopus.com/inward/record.url?eid=2-s2.0-84864853463&partnerID=40&md5=73b3464b060bdc45793f6fe7bd3977a0","Article","Scopus","2-s2.0-84864853463"
"Zhang, G., Yang, Y., Xu, G., Zhang, K., Zhang, D.","CO<inf>2</inf> capture by chemical absorption in coal-fired power plants: Energy-saving mechanism, proposed methods, and performance analysis",2015,"International Journal of Greenhouse Gas Control",39,,,449,462,,,"10.1016/j.ijggc.2015.06.006","http://www.scopus.com/inward/record.url?eid=2-s2.0-84936760676&partnerID=40&md5=4da17a53c5909c2a457e373c0ee4a293","Article","Scopus","2-s2.0-84936760676"
"Chang, Y.-J., Lin, M.-D.","Compromising economic cost and air pollutant emissions of municipal solid waste management strategies by fuzzy multiobjective optimization model",2013,"Journal of the Air and Waste Management Association",63,6,,712,723,,,"10.1080/10962247.2013.782373","http://www.scopus.com/inward/record.url?eid=2-s2.0-84878444759&partnerID=40&md5=68409d74fe9054251d15148c7bfdfb11","Article","Scopus","2-s2.0-84878444759"
"Qin, X., Huang, G., Chen, B., Zhang, B.","An interval-parameter waste-load-allocation model for river water quality management under uncertainty",2009,"Environmental Management",43,6,,999,1012,,37,"10.1007/s00267-009-9278-8","http://www.scopus.com/inward/record.url?eid=2-s2.0-67349164297&partnerID=40&md5=1be5381e510240a155273197a636f44c","Article","Scopus","2-s2.0-67349164297"
"Baliban, R.C., Elia, J.A., Floudas, C.A.","Simultaneous process synthesis, heat, power, and water integration of thermochemical hybrid biomass, coal, and natural gas facilities",2012,"Computers and Chemical Engineering",37,,,297,327,,37,"10.1016/j.compchemeng.2011.10.002","http://www.scopus.com/inward/record.url?eid=2-s2.0-84855929578&partnerID=40&md5=83a46b38fa4db3e85438dc87f3fe3bf5","Article","Scopus","2-s2.0-84855929578"
"Zhou, H., Du, X., Zhang, Z., Huang, Y.","Heat pump CPCS-RBF predictive control based on multiple boundary conditions in circulating water waste heat recovery system",2015,"Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering",35,3,,645,651,,,"10.13334/j.0258-8013.pcsee.2015.03.018","http://www.scopus.com/inward/record.url?eid=2-s2.0-84924290887&partnerID=40&md5=3fd5471e1d73f35024e80fdafedffe47","Article","Scopus","2-s2.0-84924290887"
"Bouckaert, S., Assoumou, E., Selosse, S., Maïzi, N.","A prospective analysis of waste heat management at power plants and water conservation issues using a global TIMES model",2014,"Energy",68,,,80,91,,2,"10.1016/j.energy.2014.02.008","http://www.scopus.com/inward/record.url?eid=2-s2.0-84898050127&partnerID=40&md5=da96c3a17d6292042d09d3fa87ba2899","Article","Scopus","2-s2.0-84898050127"
"U-Tapao, C., Gabriel, S.A., Peot, C., Ramirez, M.","Stochastic, multiobjective, mixed-integer optimization model for wastewater-derived energy",2014,"Journal of Energy Engineering",141,1," B5014001",,,,,"10.1061/(ASCE)EY.1943-7897.0000195","http://www.scopus.com/inward/record.url?eid=2-s2.0-84923184846&partnerID=40&md5=ef2ae4e765d8dfd3575b359ef52601b3","Article","Scopus","2-s2.0-84923184846"
"Biernacki, P., Steinigeweg, S., Borchert, A., Uhlenhut, F.","Application of Anaerobic Digestion Model No. 1 for describing anaerobic digestion of grass, maize, green weed silage, and industrial glycerine",2013,"Bioresource Technology",127,,,188,194,,14,"10.1016/j.biortech.2012.09.128","http://www.scopus.com/inward/record.url?eid=2-s2.0-84868254954&partnerID=40&md5=793fc990c19012a50c078eeea6607103","Article","Scopus","2-s2.0-84868254954"
"Panepinto, D., Fiore, S., Zappone, M., Genon, G., Meucci, L.","Evaluation of the energy efficiency of a large wastewater treatment plant in Italy",2016,"Applied Energy",161,,,404,411,,,"10.1016/j.apenergy.2015.10.027","http://www.scopus.com/inward/record.url?eid=2-s2.0-84944691537&partnerID=40&md5=98285d4550c3bad5467c60bba0004053","Article","Scopus","2-s2.0-84944691537"
"Zaher, U., Li, R., Jeppsson, U., Steyer, J.-P., Chen, S.","GISCOD: General Integrated Solid Waste Co-Digestion model",2009,"Water Research",43,10,,2717,2727,,19,"10.1016/j.watres.2009.03.018","http://www.scopus.com/inward/record.url?eid=2-s2.0-65649093400&partnerID=40&md5=ac4d6826af0f8bb602d0bf6ccdb720a6","Article","Scopus","2-s2.0-65649093400"
"Elmitwalli, T., Feng, Y., Behrendt, J., Otterpohl, R.","Anaerobic digestion potential for ecological and decentralised sanitation in urban areas",2006,"Water Science and Technology",53,9,,45,54,,9,"10.2166/wst.2006.276","http://www.scopus.com/inward/record.url?eid=2-s2.0-33745667493&partnerID=40&md5=f59051c11726d37789313ae5e6b0c2cb","Article","Scopus","2-s2.0-33745667493"
"De Keyser, W., Amerlinck, Y., Urchegui, G., Harding, T., Maere, T., Nopens, I.","Detailed dynamic pumping energy models for optimization and control of wastewater applications",2014,"Journal of Water and Climate Change",5,3,,299,314,,,"10.2166/wcc.2014.047","http://www.scopus.com/inward/record.url?eid=2-s2.0-84907796825&partnerID=40&md5=ea3b6a472bf8745c95d1510b84fb9727","Article","Scopus","2-s2.0-84907796825"
"Yang, C.-C., Chen, C.-S., Lee, C.-S.","Comprehensive River Water Quality Management by Simulation and Optimization Models",2011,"Environmental Modeling and Assessment",16,3,,283,294,,5,"10.1007/s10666-010-9247-x","http://www.scopus.com/inward/record.url?eid=2-s2.0-79955934051&partnerID=40&md5=4dfe64ae9c58fea7330814589442035a","Article","Scopus","2-s2.0-79955934051"
"Hamad, A., Al-Fadala, H., Warsame, A.","Optimum waste interception in liquefied natural gas processes",2007,"International Journal of Environment and Pollution",29,"1-3",,47,69,,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34248162383&partnerID=40&md5=0283ac5e91243c66815a6bb8d0492be5","Article","Scopus","2-s2.0-34248162383"
"Busch, J., Marquardt, W.","Model-based control of MF/UF filtration processes: Pilot plant implementation and results",2009,"Water Science and Technology",59,9,,1713,1720,,12,"10.2166/wst.2009.648","http://www.scopus.com/inward/record.url?eid=2-s2.0-67651212301&partnerID=40&md5=050615d649e96b816ba0525257e5e0b4","Article","Scopus","2-s2.0-67651212301"
"Drobež, R., Pintarič, Z.N., Pahor, B., Kravanja, Z.","Simultaneous synthesis of a biogas process and heat exchanger network",2012,"Applied Thermal Engineering",43,,,91,100,,6,"10.1016/j.applthermaleng.2012.03.009","http://www.scopus.com/inward/record.url?eid=2-s2.0-84861887112&partnerID=40&md5=6acb51f19035fcafbdd63b4a456ec53c","Article","Scopus","2-s2.0-84861887112"
"Le, V.L., Kheiri, A., Feidt, M., Pelloux-Prayer, S.","Thermodynamic and economic optimizations of a waste heat to power plant driven by a subcritical ORC (Organic Rankine Cycle) using pure or zeotropic working fluid",2014,"Energy",78,,,622,638,,6,"10.1016/j.energy.2014.10.051","http://www.scopus.com/inward/record.url?eid=2-s2.0-84920755429&partnerID=40&md5=648840f1029ccc8bbb45e621e1c178c4","Article","Scopus","2-s2.0-84920755429"
"Wang, P., Chung, T.-S.","A conceptual demonstration of freeze desalination-membrane distillation (FD-MD) hybrid desalination process utilizing liquefied natural gas (LNG) cold energy",2012,"Water Research",46,13,,4037,4052,,20,"10.1016/j.watres.2012.04.042","http://www.scopus.com/inward/record.url?eid=2-s2.0-84862766489&partnerID=40&md5=4461bb6dbe04beb8aa2bbe352fcf1f8c","Article","Scopus","2-s2.0-84862766489"
"Huang, X., Han, H., Qiao, J.","Energy consumption model for wastewater treatment process control",2013,"Water Science and Technology",67,3,,667,674,,4,"10.2166/wst.2012.563","http://www.scopus.com/inward/record.url?eid=2-s2.0-84874050543&partnerID=40&md5=346830b11c01d7e40a1611b2a8957d2a","Article","Scopus","2-s2.0-84874050543"
"Hansson, P.-A., Svensson, S.-E., Hallefält, F., Diedrichs, H.","Nutrient and cost optimization of fertilizing strategies for Salix including use of organic waste products",1999,"Biomass and Bioenergy",17,5,,377,387,,9,"10.1016/S0961-9534(99)00050-1","http://www.scopus.com/inward/record.url?eid=2-s2.0-0032586163&partnerID=40&md5=91f34c0c52416ad446d6c5aa35472981","Article","Scopus","2-s2.0-0032586163"
"Gheith, R., Hachem, H., Aloui, F., Ben Nasrallah, S.","Experimental and theoretical investigation of Stirling engine heater: Parametrical optimization",2015,"Energy Conversion and Management",105,,,285,293,,,"10.1016/j.enconman.2015.07.063","http://www.scopus.com/inward/record.url?eid=2-s2.0-84938821641&partnerID=40&md5=f4cba642e77e6ffef6c51e4dfa189859","Article","Scopus","2-s2.0-84938821641"
"Wang, Y., Pelkonen, M., Kotro, M.","Treatment of high ammonium-nitrogen wastewater from composting facilities by air stripping and catalytic oxidation",2010,"Water, Air, and Soil Pollution",208,"1-4",,259,273,,9,"10.1007/s11270-009-0164-z","http://www.scopus.com/inward/record.url?eid=2-s2.0-77951768272&partnerID=40&md5=d5dd925792993e00897f43c63ae701a1","Article","Scopus","2-s2.0-77951768272"
"Chen, W., Liang, S., Guo, Y., Cheng, K., Gui, X., Tang, D.","Investigation on the thermal performance and optimization of a heat pump water heater assisted by shower waste water",2013,"Energy and Buildings",64,,,172,181,,6,"10.1016/j.enbuild.2013.04.021","http://www.scopus.com/inward/record.url?eid=2-s2.0-84878785469&partnerID=40&md5=92529cf3640d8e56b12a0bdbedd81162","Article","Scopus","2-s2.0-84878785469"
"Waldner, M.H., Halter, R., Sigg, A., Brosch, B., Gehrmann, H.J., Keunecke, M.","Energy from Waste - Clean, efficient, renewable: Transitions in combustion efficiency and NOx control",2013,"Waste Management",33,2,,317,326,,3,"10.1016/j.wasman.2012.08.007","http://www.scopus.com/inward/record.url?eid=2-s2.0-84874325634&partnerID=40&md5=fac63ed6197e9706536b67652e4e2350","Article","Scopus","2-s2.0-84874325634"
"Namuli, R., Jaumard, B., Awasthi, A., Pillay, P.","Optimisation of biomass waste to energy conversion systems for rural grid-connected applications",2013,"Applied Energy",102,,,1013,1021,,6,"10.1016/j.apenergy.2012.06.011","http://www.scopus.com/inward/record.url?eid=2-s2.0-84870755691&partnerID=40&md5=772059290213d53ffb2072961021d2a1","Article","Scopus","2-s2.0-84870755691"
"Maere, T., Verrecht, B., Moerenhout, S., Judd, S., Nopens, I.","BSM-MBR: A benchmark simulation model to compare control and operational strategies for membrane bioreactors",2011,"Water Research",45,6,,2181,2190,,29,"10.1016/j.watres.2011.01.006","http://www.scopus.com/inward/record.url?eid=2-s2.0-79951951499&partnerID=40&md5=709b452c751861d67caa19e4429884cc","Article","Scopus","2-s2.0-79951951499"
"Gerber, L., Fazlollahi, S., Maréchal, F.","A systematic methodology for the environomic design and synthesis of energy systems combining process integration, Life Cycle Assessment and industrial ecology",2013,"Computers and Chemical Engineering",59,,,2,16,,11,"10.1016/j.compchemeng.2013.05.025","http://www.scopus.com/inward/record.url?eid=2-s2.0-84886402050&partnerID=40&md5=7a2dbcfde89efae99fe51d677bf1466a","Article","Scopus","2-s2.0-84886402050"
"Taskhiri, M.S., Behera, S.K., Tan, R.R., Park, H.-S.","Fuzzy optimization of a waste-to-energy network system in an eco-industrial park",2014,"Journal of Material Cycles and Waste Management",17,3,,476,489,,,"10.1007/s10163-014-0259-5","http://www.scopus.com/inward/record.url?eid=2-s2.0-84937522264&partnerID=40&md5=5d49da47fab141bd38ddca9c79cb1bce","Article","Scopus","2-s2.0-84937522264"
"Lu, L., Cai, W., Soh, Y.C., Xie, L., Li, S.","HVAC system optimization - Condenser water loop",2004,"Energy Conversion and Management",45,4,,613,630,,54,"10.1016/S0196-8904(03)00181-X","http://www.scopus.com/inward/record.url?eid=2-s2.0-0242523713&partnerID=40&md5=f156a984a6a5775226fe529d2641d672","Article","Scopus","2-s2.0-0242523713"
"Kermani, M., Périn-Levasseur, Z., Benali, M., Savulescu, L., Maréchal, F.","An Improved Linear Programming Approach for Simultaneous Optimization of Water and Energy",2014,"Computer Aided Chemical Engineering",33,,,1561,1566,,1,"10.1016/B978-0-444-63455-9.50095-7","http://www.scopus.com/inward/record.url?eid=2-s2.0-84902950557&partnerID=40&md5=9a2ed9e43a4e57fd9ca47f3b98007969","Article","Scopus","2-s2.0-84902950557"
"Kollmann, R., Maier, S., Shahzad, K., Kretschmer, F., Neugebauer, G., Stoeglehner, G., Ertl, T., Narodoslawsky, M.","Waste water treatment plants as regional energy cells - Evaluation of economic and ecologic potentials in Austria",2014,"Chemical Engineering Transactions",39,"Special Issue",,607,612,,2,"10.3303/CET1439102","http://www.scopus.com/inward/record.url?eid=2-s2.0-84908092605&partnerID=40&md5=a4fd46a9b5a971974d4e41a0292a767d","Article","Scopus","2-s2.0-84908092605"
"Zhou, X.-J., Guo, W.-Q., Yang, S.-S., Ren, N.-Q.","A rapid and low energy consumption method to decolorize the high concentration triphenylmethane dye wastewater: Operational parameters optimization for the ultrasonic-assisted ozone oxidation process",2012,"Bioresource Technology",105,,,40,47,,11,"10.1016/j.biortech.2011.11.089","http://www.scopus.com/inward/record.url?eid=2-s2.0-84855252681&partnerID=40&md5=9807e705b25f0ce43fb70a3e3f1268b5","Article","Scopus","2-s2.0-84855252681"
"Egilmez, G., Kucukvar, M., Tatari, O.","Sustainability assessment of U.S. manufacturing sectors: An economic input output-based frontier approach",2013,"Journal of Cleaner Production",53,,,91,102,,25,"10.1016/j.jclepro.2013.03.037","http://www.scopus.com/inward/record.url?eid=2-s2.0-84878897480&partnerID=40&md5=9160539dddbeda20e20122ca46498c4d","Article","Scopus","2-s2.0-84878897480"
"Karimi, M., Keyhani, A., Akram, A., Rahman, M., Jenkins, B., Stroeve, P.","Hybrid response surface methodology-genetic algorithm optimization of ultrasound-assisted transesterification of waste oil catalysed by immobilized lipase on mesoporous silica/iron oxide magnetic core-shell nanoparticles",2013,"Environmental Technology (United Kingdom)",34,"13-14",,2201,2211,,6,"10.1080/09593330.2013.837939","http://www.scopus.com/inward/record.url?eid=2-s2.0-84885995636&partnerID=40&md5=ed4d36fcfd4887aeefa76c785bf87809","Article","Scopus","2-s2.0-84885995636"
"Marques, J., Cunha, M., Savić, D.A.","Multi-objective optimization of water distribution systems based on a real options approach",2015,"Environmental Modelling and Software",63,,,1,13,,3,"10.1016/j.envsoft.2014.09.014","http://www.scopus.com/inward/record.url?eid=2-s2.0-84907495047&partnerID=40&md5=8ae8dc2dfcf56bd7a7862d1041018c0a","Article","Scopus","2-s2.0-84907495047"
"Hovsapian, R., Vargas, J.V.C., Ordonez, J.C., Krothapalli, A., Parise, J.A.R., Berndsen, J.C.","Thermodynamic optimization of a solar system for cogeneration of water heating and absorption cooling",2008,"International Journal of Energy Research",32,13,,1210,1227,,14,"10.1002/er.1416","http://www.scopus.com/inward/record.url?eid=2-s2.0-55949128332&partnerID=40&md5=89bb40c87d7dc7cf5e4dad223308a48d","Article","Scopus","2-s2.0-55949128332"
"Harrison, C., Eckman, B., Hamilton, R., Hartswick, P., Kalagnanam, J., Paraszczak, J., Williams, P.","Foundations for Smarter Cities",2010,"IBM Journal of Research and Development",54,4,5512826,,,,60,"10.1147/JRD.2010.2048257","http://www.scopus.com/inward/record.url?eid=2-s2.0-79953821440&partnerID=40&md5=6ae0a5b9109788d0d30dfb8bbe38164c","Article","Scopus","2-s2.0-79953821440"
"Meng, F., Chen, L., Sun, F.","A numerical model and comparative investigation of a thermoelectric generator with multi-irreversibilities",2011,"Energy",36,5,,3513,3522,,51,"10.1016/j.energy.2011.03.057","http://www.scopus.com/inward/record.url?eid=2-s2.0-79955663768&partnerID=40&md5=e3e601c9a4191270a3e33811fc971f8f","Article","Scopus","2-s2.0-79955663768"
"Yang, Y., Yang, J., Zuo, J., Li, Y., He, S., Yang, X., Zhang, K.","Study on two operating conditions of a full-scale oxidation ditch for optimization of energy consumption and effluent quality by using CFD model",2011,"Water Research",45,11,,3439,3452,,15,"10.1016/j.watres.2011.04.007","http://www.scopus.com/inward/record.url?eid=2-s2.0-79955947147&partnerID=40&md5=56f6c2149bb96a703731e01b600d6bd8","Article","Scopus","2-s2.0-79955947147"
"Khan, J.R.","Modeling and optimization of a novel pressurized CHP system with water extraction and refrigeration",2008,"International Journal of Energy Research",32,8,,735,751,,8,"10.1002/er.1394","http://www.scopus.com/inward/record.url?eid=2-s2.0-54949100393&partnerID=40&md5=5bfdf7066fb99c1f4d087d0adb203ea5","Article","Scopus","2-s2.0-54949100393"
"He, J., Deng, Y., Li, L., Li, Z., Yin, X., Deng, Y.","Process optimization of wasted edible oil hydrolytic acidification in two-phase anaerobic digestion",2015,"Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering",31,19,,247,253,,,"10.11975/j.issn.1002-6819.2015.19.035","http://www.scopus.com/inward/record.url?eid=2-s2.0-84945913363&partnerID=40&md5=8388c18e6db7012c28dcc47498737163","Article","Scopus","2-s2.0-84945913363"
"Schaerlaekens, J., Carmeliet, J., Feyen, J.","Multi-objective optimization of the setup of a surfactant-enhanced DNAPL remediation",2005,"Environmental Science and Technology",39,7,,2327,2333,,7,"10.1021/es049148z","http://www.scopus.com/inward/record.url?eid=2-s2.0-16844378939&partnerID=40&md5=1d19116069b9682ed0829b23418e17ad","Article","Scopus","2-s2.0-16844378939"
"Gao, X., Akashi, Y., Sumiyoshi, D.","Installed capacity optimization of distributed energy resource systems for residential buildings",2014,"Energy and Buildings",69,,,307,317,,4,"10.1016/j.enbuild.2013.11.026","http://www.scopus.com/inward/record.url?eid=2-s2.0-84889058339&partnerID=40&md5=17bf27d1bda1fff062342dbce3c2db2f","Article","Scopus","2-s2.0-84889058339"
"Puchongkawarin, C., Menichini, C., Laso-Rubido, C., Fitzgerald, S., Chachuat, B.","Model-based methodology for plant-wide analysis of wastewater treatment plants: Industrial case study",2015,"Water Practice and Technology",10,3,,517,526,,,"10.2166/wpt.2015.059","http://www.scopus.com/inward/record.url?eid=2-s2.0-84940105550&partnerID=40&md5=875dbdaba62d3d900ab626f57ac30445","Article","Scopus","2-s2.0-84940105550"
"Shadiya, O.O., Satish, V., High, K.A.","Process enhancement through waste minimization and multiobjective optimization",2012,"Journal of Cleaner Production",31,,,137,149,,10,"10.1016/j.jclepro.2012.03.008","http://www.scopus.com/inward/record.url?eid=2-s2.0-84859642333&partnerID=40&md5=b7c7c79a8b0a70fbbe3ac86ffe8070a1","Article","Scopus","2-s2.0-84859642333"
"De Gussem, K., Fenu, A., Wambecq, T., Weemaes, M.","Energy saving on wastewater treatment plants through improved online control: Case study wastewater treatment plant Antwerp-South",2014,"Water Science and Technology",69,5,,1074,1079,,2,"10.2166/wst.2014.015","http://www.scopus.com/inward/record.url?eid=2-s2.0-84897132404&partnerID=40&md5=cbe40707525ca46431b6bb0eed84fe24","Article","Scopus","2-s2.0-84897132404"
"Lim, S.-R.","Effects of water network synthesis on the air pollutant emissions and energy consumption of a whole economy",2009,"Water, Air, and Soil Pollution",199,"1-4",,67,77,,,"10.1007/s11270-008-9860-3","http://www.scopus.com/inward/record.url?eid=2-s2.0-67349194660&partnerID=40&md5=22ef4b5ba1a56dd5482c566cf4ede07f","Article","Scopus","2-s2.0-67349194660"
"Cho, J.H., Lee, J.H.","Multi-objective waste load allocation model for optimizing waste load abatement and inequality among waste dischargers",2014,"Water, Air, and Soil Pollution",225,3,,,,,4,"10.1007/s11270-014-1892-2","http://www.scopus.com/inward/record.url?eid=2-s2.0-84894440550&partnerID=40&md5=2d237496a338b5483b58e836ec8aaf1c","Article","Scopus","2-s2.0-84894440550"
"Frikha, S., Driss, Z., Hagui, M.A.","Computational study of the diffuser angle effect in the design of a waste heat recovery system for oil field cabins",2015,"Energy",84,,,219,238,,,"10.1016/j.energy.2015.02.090","http://www.scopus.com/inward/record.url?eid=2-s2.0-84928430729&partnerID=40&md5=ab5dcd450af13d6a9ebd488df8112f2d","Article","Scopus","2-s2.0-84928430729"
