"Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Papadopoulou, K., Dimitropoulos, V., Rigas, F.","Assessment of Pleurotus ostreatus mediated degradation of agro-residues by using design of experiments methodologies",2015,"Environmental Progress and Sustainable Energy",34,6,,1705,1713,,,"10.1002/ep.12176","http://www.scopus.com/inward/record.url?eid=2-s2.0-84948712136&partnerID=40&md5=c1d4f0e7284a27d971ae9ca6ad6f04ab","Article","Scopus","2-s2.0-84948712136"
"Gong, S.-W., Lu, J., Wang, H.-H., Liu, L.-J., Zhang, Q.","Biodiesel production via esterification of oleic acid catalyzed by picolinic acid modified 12-tungstophosphoric acid",2014,"Applied Energy",134,,,283,289,,3,"10.1016/j.apenergy.2014.07.099","http://www.scopus.com/inward/record.url?eid=2-s2.0-84906672005&partnerID=40&md5=a88344620ab857ff4b0413ab2d57fa02","Article","Scopus","2-s2.0-84906672005"
"Deng, F., Jones, D.B.A., Henze, D.K., Bousserez, N., Bowman, K.W., Fisher, J.B., Nassar, R., O'Dell, C., Wunch, D., Wennberg, P.O., Kort, E.A., Wofsy, S.C., Blumenstock, T., Deutscher, N.M., Griffith, D.W.T., Hase, F., Heikkinen, P., Sherlock, V., Strong, K., Sussmann, R., Warneke, T.","Inferring regional sources and sinks of atmospheric CO2 from GOSAT XCO2 data",2014,"Atmospheric Chemistry and Physics",14,7,,3703,3727,,10,"10.5194/acp-14-3703-2014","http://www.scopus.com/inward/record.url?eid=2-s2.0-84898439360&partnerID=40&md5=29eb9b273226052fe5f0d58d4ed7e241","Article","Scopus","2-s2.0-84898439360"
"García-Segura, T., Yepes, V., Alcalá, J.","Life cycle greenhouse gas emissions of blended cement concrete including carbonation and durability",2014,"International Journal of Life Cycle Assessment",19,1,,3,12,,7,"10.1007/s11367-013-0614-0","http://www.scopus.com/inward/record.url?eid=2-s2.0-84893770004&partnerID=40&md5=7e5797571de80b5f6264258ae9b663cb","Article","Scopus","2-s2.0-84893770004"
"Smoot, L.D., Hill, S.C., Xu, H.","NOx control through reburning",1998,"Progress in Energy and Combustion Science",24,5,,385,408,,218,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032318372&partnerID=40&md5=34d5ed7352f3a3cc5022eff0a36cc8dc","Article","Scopus","2-s2.0-0032318372"
"Murugesan, A., Vidhyadevi, T., Kalaivani, S.S., Baskaralingam, P., Anuradha, C.D., Sivanesan, S.","Kinetic studies and isotherm modeling for the removal of Ni2+ and Pb2+ ions by modified activated carbon using sulfuric acid",2014,"Environmental Progress and Sustainable Energy",33,3,,844,854,,2,"10.1002/ep.11857","http://www.scopus.com/inward/record.url?eid=2-s2.0-84904257143&partnerID=40&md5=dc5cf7b5123638b93487432714f160d0","Article","Scopus","2-s2.0-84904257143"
"Pasha, I., Saeed, F., Waqas, K., Anjum, F.M., Arshad, M.U.","Nutraceutical and Functional Scenario of Wheat Straw",2013,"Critical Reviews in Food Science and Nutrition",53,3,,287,295,,1,"10.1080/10408398.2010.528080","http://www.scopus.com/inward/record.url?eid=2-s2.0-84870654595&partnerID=40&md5=a4a8596383e0e7c5c4bb503167a7c7ee","Article","Scopus","2-s2.0-84870654595"
"Li, Q., Ji, S., Hu, J., Jiang, S.","Catalytic steam reforming of rice straw biomass to hydrogen-rich syngas over Ni-based catalysts",2013,"Cuihua Xuebao/Chinese Journal of Catalysis",34,7,,,,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883343373&partnerID=40&md5=74c481f8ba166e8c1d3af9ad274649aa","Article","Scopus","2-s2.0-84883343373"
"Lundstedt-Enkel, K., Tysklind, M., Trygg, J., Schuller, P., Asplund, L., Eriksson, U., Häggberg, L., Odsjö, T., Hjelmberg, M., Olsson, M., Örberg, J.","A statistical resampling method to calculate biomagnification factors exemplified with organochlorine data from herring (Clupea harengus) muscle and Guillemot (Uria aalge) egg from the baltic sea",2005,"Environmental Science and Technology",39,21,,8395,8402,,14,"10.1021/es048415y","http://www.scopus.com/inward/record.url?eid=2-s2.0-27644517527&partnerID=40&md5=d1f69f61a65d58765774ef902592e48d","Article","Scopus","2-s2.0-27644517527"
"Rey, S.J., Dev, B., Janikas, M.V., Kim, Y.-S.","Subject and author indexes to 2002 regional science and related journal literature",2004,"International Regional Science Review",27,1,,1,84,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1642456599&partnerID=40&md5=b37f133c487a6dbd3dedd1da09b71aee","Article","Scopus","2-s2.0-1642456599"
"Doǧru, T., Ergün, L.","Investigation of the effect of cooling duration on the breakage characteristics of copper smelter slags of KBI samsun smelter | Soǧutma süresinin KBI samsun bakir izabe cüruflarinin kirilma karakteristiklerine etkisinin incelenmesi",2004,"Madencilik",43,2,,25,36,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-5044232295&partnerID=40&md5=d5dbbe32a92e8d080ae3ef1b441b34c0","Article","Scopus","2-s2.0-5044232295"
