"process","resource","season","zone","value"
"anaerobicFermentation","biodiesel","wint","dormitories",0.00
"anaerobicFermentation","biodiesel","sum","dormitories",0.00
"anaerobicFermentation","biodiesel","shoulder","dormitories",0.00
"anaerobicFermentation","biodiesel","wint","energyIsland",0.00
"anaerobicFermentation","biodiesel","sum","energyIsland",0.00
"anaerobicFermentation","biodiesel","shoulder","energyIsland",0.00
"anaerobicFermentation","biodiesel","wint","factory",0.00
"anaerobicFermentation","biodiesel","sum","factory",0.00
"anaerobicFermentation","biodiesel","shoulder","factory",0.00
"anaerobicFermentation","biodiesel","wint","factory_assembly",0.00
"anaerobicFermentation","biodiesel","sum","factory_assembly",0.00
"anaerobicFermentation","biodiesel","shoulder","factory_assembly",0.00
"anaerobicFermentation","biodiesel","wint","factory_blades",0.00
"anaerobicFermentation","biodiesel","sum","factory_blades",0.00
"anaerobicFermentation","biodiesel","shoulder","factory_blades",0.00
"anaerobicFermentation","biodiesel","wint","hospital",0.00
"anaerobicFermentation","biodiesel","sum","hospital",0.00
"anaerobicFermentation","biodiesel","shoulder","hospital",0.00
"anaerobicFermentation","biodiesel","wint","multifunction",0.00
"anaerobicFermentation","biodiesel","sum","multifunction",0.00
"anaerobicFermentation","biodiesel","shoulder","multifunction",0.00
"anaerobicFermentation","biodiesel","wint","northDistrict",0.00
"anaerobicFermentation","biodiesel","sum","northDistrict",0.00
"anaerobicFermentation","biodiesel","shoulder","northDistrict",0.00
"anaerobicFermentation","biodiesel","wint","quality",0.00
"anaerobicFermentation","biodiesel","sum","quality",0.00
"anaerobicFermentation","biodiesel","shoulder","quality",0.00
"anaerobicFermentation","biodiesel","wint","reserved",0.00
"anaerobicFermentation","biodiesel","sum","reserved",0.00
"anaerobicFermentation","biodiesel","shoulder","reserved",0.00
"anaerobicFermentation","biodiesel","wint","residential",0.00
"anaerobicFermentation","biodiesel","sum","residential",0.00
"anaerobicFermentation","biodiesel","shoulder","residential",0.00
"anaerobicFermentation","biodiesel","wint","school",0.00
"anaerobicFermentation","biodiesel","sum","school",0.00
"anaerobicFermentation","biodiesel","shoulder","school",0.00
"anaerobicFermentation","biodiesel","wint","tech",0.00
"anaerobicFermentation","biodiesel","sum","tech",0.00
"anaerobicFermentation","biodiesel","shoulder","tech",0.00
"anaerobicFermentation","biogas","wint","dormitories",0.00
"anaerobicFermentation","biogas","sum","dormitories",0.00
"anaerobicFermentation","biogas","shoulder","dormitories",0.00
"anaerobicFermentation","biogas","wint","energyIsland",0.00
"anaerobicFermentation","biogas","sum","energyIsland",0.00
"anaerobicFermentation","biogas","shoulder","energyIsland",0.00
"anaerobicFermentation","biogas","wint","factory",0.00
"anaerobicFermentation","biogas","sum","factory",0.00
"anaerobicFermentation","biogas","shoulder","factory",0.00
"anaerobicFermentation","biogas","wint","factory_assembly",0.00
"anaerobicFermentation","biogas","sum","factory_assembly",0.00
"anaerobicFermentation","biogas","shoulder","factory_assembly",0.00
"anaerobicFermentation","biogas","wint","factory_blades",0.00
"anaerobicFermentation","biogas","sum","factory_blades",0.00
"anaerobicFermentation","biogas","shoulder","factory_blades",0.00
"anaerobicFermentation","biogas","wint","hospital",0.00
"anaerobicFermentation","biogas","sum","hospital",0.00
"anaerobicFermentation","biogas","shoulder","hospital",0.00
"anaerobicFermentation","biogas","wint","multifunction",0.00
"anaerobicFermentation","biogas","sum","multifunction",0.00
"anaerobicFermentation","biogas","shoulder","multifunction",0.00
"anaerobicFermentation","biogas","wint","northDistrict",0.00
"anaerobicFermentation","biogas","sum","northDistrict",0.00
"anaerobicFermentation","biogas","shoulder","northDistrict",0.00
"anaerobicFermentation","biogas","wint","quality",0.00
"anaerobicFermentation","biogas","sum","quality",0.00
"anaerobicFermentation","biogas","shoulder","quality",0.00
"anaerobicFermentation","biogas","wint","reserved",0.00
"anaerobicFermentation","biogas","sum","reserved",0.00
"anaerobicFermentation","biogas","shoulder","reserved",0.00
"anaerobicFermentation","biogas","wint","residential",0.00
